日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-17,深圳,一线城市,广东,中雨,28,0.00,0.6485
2026-07-17,上海,一线城市,上海,阴,38,0.50,0.5221
2026-07-17,北京,一线城市,北京,晴,32,0.50,0.59
2026-07-17,广州,一线城市,广东,中雨,31,0.50,0.3636
2026-07-17,杭州,新一线城市,浙江,多云,37,0.00,0.506
2026-07-17,苏州,新一线城市,江苏,阴,36,0.00,0.5385
2026-07-17,合肥,新一线城市,安徽,小雨,35,0.00,0.7025
2026-07-17,武汉,新一线城市,湖北,阴,36,0.50,0.529
2026-07-17,南京,新一线城市,江苏,小雨,35,0.00,0.5176
2026-07-17,郑州,新一线城市,河南,中雨,30,0.00,0.6087
2026-07-17,长沙,新一线城市,湖南,小雨,38,0.00,0.6508
2026-07-17,东莞,新一线城市,广东,中雨,30,0.00,0.7419
2026-07-17,西安,新一线城市,陕西,多云,33,0.50,0.5345
2026-07-17,青岛,新一线城市,山东,中雨,26,0.00,0.6078
2026-07-17,天津,新一线城市,天津,小雨,33,0.50,0.5263
2026-07-17,佛山,新一线城市,广东,中雨,31,0.00,0.6
2026-07-17,沈阳,二线城市,辽宁,多云,31,0.00,0.5492
2026-07-17,南通,二线城市,江苏,阴,36,0.00,0.7627
2026-07-17,临沂,二线城市,山东,暴雨,29,0.00,0.84
2026-07-17,南昌,二线城市,江西,多云,35,0.00,0.5263
2026-07-17,泉州,二线城市,福建,小雨,32,0.00,0.82
2026-07-17,常州,二线城市,江苏,阴,36,0.00,0.5625
2026-07-17,福州,二线城市,福建,多云,36,0.50,0.5909
2026-07-17,金华,二线城市,浙江,多云,35,0.00,0.725
2026-07-17,温州,二线城市,浙江,多云,37,0.00,0.7714
2026-07-17,无锡,二线城市,江苏,小雨,38,0.00,0.5429
2026-07-17,厦门,二线城市,福建,小雨,31,0.00,0.5625
2026-07-17,惠州,二线城市,广东,大雨,31,0.00,0.7333
2026-07-17,漳州,二线城市,福建,小雨,32,0.00,1.0
2026-07-17,哈尔滨,二线城市,黑龙江,晴,28,0.00,0.7037
2026-07-17,徐州,二线城市,江苏,中雨,32,0.00,0.7692
2026-07-17,石家庄,二线城市,河北,阴,29,0.00,0.8261
2026-07-17,济南,二线城市,山东,大雨,30,0.00,0.8636
2026-07-17,嘉兴,二线城市,浙江,多云,36,0.30,1.0
