实时天气
轻毛毛雨 35.3°C
阴 26.2°C
轻毛毛雨 28.6°C
雷暴 28.7°C
阴 27.9°C
阴 27.2°C
晴 25.3°C
阴 28.3°C
阴 29.1°C
阴 28.9°C
阴 25.2°C
阴 26.7°C
轻毛毛雨 33.6°C
轻毛毛雨 29.0°C
阴 32.5°C
阴 30.4°C
阴 20.2°C
大部晴 27.1°C
阴 24.8°C
多云 25.8°C
晴 24.9°C
阴 23.5°C
阴 29.0°C
阴 28.9°C
轻毛毛雨 28.4°C
阴 29.4°C
阴 30.2°C
轻毛毛雨 30.3°C
阴 25.5°C
阴 32.2°C
多云 31.6°C
阴 26.7°C
阴 26.2°C
多云 32.8°C
阴 33.0°C
多云 32.5°C
轻毛毛雨 27.5°C
阴 20.0°C
阴 30.3°C
大部晴 31.0°C
阴 29.5°C
阴 31.9°C
阴 23.8°C
大部晴 27.3°C
--
阴 28.8°C
阴 29.8°C
晴 22.6°C
--
阴 31.3°C
阴 25.2°C
多云 27.7°C
轻毛毛雨 29.0°C
阴 26.0°C
阴 25.6°C
阴 24.1°C
晴 24.7°C
阴 26.2°C
多云 25.8°C
--
多云 25.8°C
晴 25.6°C
大部晴 25.9°C
阴 25.3°C
阴 26.9°C
阴 27.2°C
阴 28.4°C
雷暴 28.6°C
阴 27.0°C
多云 30.4°C
阴 28.0°C
阴 28.9°C
阴 27.5°C
阴 28.4°C
阴 25.7°C
轻毛毛雨 29.0°C
--
多云 28.1°C
阴 25.6°C
阴 29.4°C
多云 31.5°C
阴 32.1°C
阴 32.7°C
阴 30.9°C
阴 27.1°C
阴 26.5°C
阴 26.8°C
多云 25.9°C
晴 25.9°C
阴 26.5°C
大部晴 27.6°C
阴 27.2°C
阴 26.4°C
阴 25.9°C
阴 25.9°C
阴 25.6°C
多云 26.0°C
阴 32.8°C
阴 32.5°C
阴 29.2°C
多云 30.6°C
多云 30.8°C
中阵雨 26.3°C
阵雨 25.7°C
多云 29.9°C
阴 32.2°C
阴 32.0°C
阴 33.1°C
阴 32.3°C
阴 25.0°C
阴 29.9°C
阴 28.9°C
--
阴 19.6°C
轻毛毛雨 19.8°C
--
多云 24.5°C
晴 26.6°C
晴 28.6°C
阴 29.3°C
晴 30.8°C
阴 28.1°C
大部晴 30.5°C
阴 27.4°C
阴 30.3°C
多云 26.5°C
阴 26.3°C
阴 31.2°C
阴 26.1°C
阴 25.6°C
阴 29.2°C
阴 31.9°C
大部晴 26.8°C
晴 24.5°C
大部晴 26.5°C
阴 24.8°C
阴 22.3°C
阴 22.9°C
阴 27.0°C
阴 29.6°C
轻毛毛雨 28.9°C
阴 28.1°C
阴 28.0°C
雷暴 30.1°C
阴 29.3°C
阴 30.1°C
轻毛毛雨 29.0°C
阴 26.4°C
--
阴 31.9°C
阴 33.3°C
大部晴 31.3°C
阴 25.8°C
多云 24.4°C
阴 27.4°C
阴 26.3°C
阴 26.6°C
阴 25.4°C
多云 25.6°C
阴 26.4°C
阴 33.5°C
阴 34.9°C
大部晴 32.9°C
大部晴 29.0°C
晴 28.9°C
阴 30.4°C
轻毛毛雨 26.1°C
阴 29.6°C
阴 29.2°C
阴 30.4°C
阴 30.7°C
阴 27.6°C
阴 29.4°C
阴 30.3°C
阴 32.1°C
阴 26.5°C
阴 30.8°C
阴 31.7°C
晴 22.0°C
多云 19.2°C
阴 30.7°C
阴 31.3°C
轻毛毛雨 27.6°C
阴 20.0°C
阴 22.5°C
--
--
晴 27.6°C
晴 26.7°C
晴 27.3°C
多云 26.4°C
晴 26.7°C
阴 29.1°C
轻毛毛雨 29.0°C
阴 28.6°C
大部晴 15.6°C
阴 27.7°C
--
--
--
--
轻毛毛雨 19.5°C
--
--
轻毛毛雨 25.6°C
大部晴 26.6°C
阴 18.6°C
阴 27.0°C
阴 24.1°C
晴 25.9°C
晴 25.5°C
--
阴 28.9°C
阴 30.4°C
阴 32.0°C
阴 29.8°C
阴 32.0°C
--
晴 22.9°C
晴 23.0°C
阴 16.5°C
晴 23.8°C
轻毛毛雨 30.3°C
阴 22.1°C
阴 29.6°C
阴 27.6°C
阴 28.2°C
轻毛毛雨 28.8°C
雷暴 28.6°C
阴 32.3°C
阴 31.7°C
阴 26.4°C
多云 25.9°C
多云 30.7°C
阴 32.7°C
大部晴 29.5°C
轻毛毛雨 26.9°C
--
阵雨 26.3°C
雷暴 25.6°C
阴 26.7°C
阴 28.0°C
--
--
阴 22.8°C
阴 19.7°C
晴 24.0°C
阴 25.2°C
多云 14.2°C
晴 27.1°C
阴 32.5°C
晴 27.1°C
大部晴 26.8°C
大部晴 26.9°C
大部晴 27.2°C
多云 26.9°C
多云 28.5°C
阴 28.2°C
阴 26.5°C
阴 32.7°C
阴 26.5°C
阴 24.7°C
--
阴 20.7°C
--
--
阴 27.5°C
晴 26.4°C
--
阴 22.8°C
阴 26.6°C
阴 29.3°C
雷暴 30.0°C
阴 26.5°C
阴 27.5°C
阴 32.8°C
阴 26.9°C
大部晴 26.3°C
阴 35.0°C
阴 33.7°C
阴 27.6°C
阴 14.5°C
--
--
晴 27.2°C
阴 29.0°C
多云 27.1°C
阴 26.1°C
大部晴 25.9°C
