[row=1] 城市分层,省份,城市,天气,温度,配送费,配送费占比,明日天气
[row=2] 一线城市,上海,上海,小雨,33,0,100%,小雨
[row=3] 一线城市,北京,北京,小雨,28,0,100%,小雨
[row=4] 一线城市,广东,广州,中雨,30,0,57%,晴
[row=5] 一线城市,广东,深圳,雷阵雨,31,0,100%,晴
[row=6] 新一线城市,广东,东莞,雷阵雨,31,0,100%,晴
[row=7] 新一线城市,广东,佛山,中雨,31,0,100%,雷阵雨
[row=8] 新一线城市,江苏,南京,中雨,28,0,100%,中雨
[row=9] 新一线城市,安徽,合肥,小雨,29,0,100%,中雨
[row=10] 新一线城市,天津,天津,雷阵雨,31,0,100%,雷阵雨
[row=11] 新一线城市,浙江,杭州,小雨,34,0,100%,多云
[row=12] 新一线城市,湖北,武汉,小雨,29,0,100%,小雨
[row=13] 新一线城市,江苏,苏州,小雨,32,0,100%,小雨
[row=14] 新一线城市,陕西,西安,小雨,37,0,100%,多云
[row=15] 新一线城市,河南,郑州,晴,35,0,100%,中雨
[row=16] 新一线城市,湖南,长沙,中雨,30,0,48%,小雨
[row=17] 新一线城市,山东,青岛,阴,27,0,100%,小雨
[row=18] 二线城市,广东,中山,中雨,34,0,100%,多云
[row=19] 二线城市,山东,临沂,阴,32,0,100%,小雨
[row=20] 二线城市,海南,五指山,多云,32,0,100%,雷阵雨
[row=21] 二线城市,河北,保定,中雨,31,0,100%,雷阵雨
[row=22] 二线城市,甘肃,兰州,晴,35,0,100%,晴
[row=23] 二线城市,广西,南宁,大雨,30,0,100%,中雨
[row=24] 二线城市,江西,南昌,雷阵雨,32,0,100%,雷阵雨
[row=25] 二线城市,江苏,南通,中雨,32,0,99%,小雨
[row=26] 二线城市,福建,厦门,晴,32,0,100%,晴
[row=27] 二线城市,黑龙江,哈尔滨,雷阵雨,29,0,100%,雷阵雨
[row=28] 二线城市,浙江,嘉兴,小雨,34,1,81%,多云
[row=29] 二线城市,山西,太原,小雨,30,0,100%,小雨
[row=30] 二线城市,江苏,常州,中雨,31,0,100%,小雨
[row=31] 二线城市,江苏,徐州,晴,32,0,96%,小雨
[row=32] 二线城市,广东,惠州,雷阵雨,33,0,100%,多云
[row=33] 二线城市,江苏,无锡,小雨,33,0,100%,小雨
[row=34] 二线城市,云南,昆明,小雨,27,0,100%,小雨
[row=35] 二线城市,辽宁,沈阳,多云,31,0,99%,多云
[row=36] 二线城市,福建,泉州,晴,34,0,100%,晴
[row=37] 二线城市,山东,济南,多云,33,0,100%,阴
[row=38] 二线城市,浙江,温州,多云,35,0,100%,阴
[row=39] 二线城市,福建,漳州,多云,34,0,100%,晴
[row=40] 二线城市,山东,烟台,阴,28,0,100%,阴
[row=41] 二线城市,广东,珠海,中雨,31,0,100%,晴
[row=42] 二线城市,河北,石家庄,雷阵雨,33,0,100%,雷阵雨
[row=43] 二线城市,福建,福州,晴,36,0,100%,晴
[row=44] 二线城市,贵州,贵阳,多云,31,0,100%,多云
[row=45] 二线城市,浙江,金华,小雨,33,0,100%,多云
[row=46] 二线城市,吉林,长春,小雨,29,0,100%,小雨
[row=47] 三线城市,海南,三亚,小雨,33,0,100%,小雨
[row=48] 三线城市,江西,上饶,多云,34,0,100%,多云
[row=49] 三线城市,江西,九江,中雨,31,0,100%,多云
[row=50] 三线城市,河南,信阳,小雨,32,0,100%,小雨
[row=51] 三线城市,安徽,六安,小雨,28,0,100%,中雨
[row=52] 三线城市,四川,南充,晴,40,0,100%,晴
[row=53] 三线城市,河南,南阳,晴,35,0,100%,多云
[row=54] 三线城市,浙江,台州,晴,35,0,98%,晴
[row=55] 三线城市,河南,周口,小雨,37,0,100%,小雨
[row=56] 三线城市,陕西,咸阳,晴,36,0,100%,多云
[row=57] 三线城市,河北,唐山,雷阵雨,30,0,100%,中雨
[row=58] 三线城市,河南,商丘,晴,33,0,100%,晴
[row=59] 三线城市,山东,威海,阴,28,0,100%,小雨
[row=60] 三线城市,福建,宁德,多云,37,0,100%,多云
[row=61] 三线城市,安徽,安庆,小雨,29,0,100%,小雨
[row=62] 三线城市,湖北,宜昌,小雨,33,0,100%,小雨
