日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-22,深圳,一线城市,广东,雷阵雨,32,0.00,1.0
2026-07-22,上海,一线城市,上海,小雨,34,0.00,1.0
2026-07-22,北京,一线城市,北京,小雨,27,0.00,1.0
2026-07-22,广州,一线城市,广东,雷阵雨,33,0.00,0.5682
2026-07-22,杭州,新一线城市,浙江,小雨,35,0.00,1.0
2026-07-22,苏州,新一线城市,江苏,小雨,34,0.00,1.0
2026-07-22,合肥,新一线城市,安徽,中雨,28,0.00,0.9968
2026-07-22,武汉,新一线城市,湖北,中雨,30,0.00,1.0
2026-07-22,南京,新一线城市,江苏,大雨,28,0.00,1.0
2026-07-22,郑州,新一线城市,河南,晴,34,0.00,1.0
2026-07-22,长沙,新一线城市,湖南,雷阵雨,31,0.00,0.4762
2026-07-22,东莞,新一线城市,广东,中雨,33,0.00,1.0
2026-07-22,西安,新一线城市,陕西,多云,37,0.00,1.0
2026-07-22,青岛,新一线城市,山东,多云,27,0.00,1.0
2026-07-22,天津,新一线城市,天津,中雨,30,0.00,1.0
2026-07-22,佛山,新一线城市,广东,中雨,32,0.00,1.0
2026-07-22,沈阳,二线城市,辽宁,多云,31,0.00,0.9923
2026-07-22,南通,二线城市,江苏,小雨,31,0.00,0.9943
2026-07-22,临沂,二线城市,山东,多云,31,0.00,1.0
2026-07-22,南昌,二线城市,江西,雷阵雨,33,0.00,1.0
2026-07-22,泉州,二线城市,福建,晴,33,0.00,1.0
2026-07-22,常州,二线城市,江苏,中雨,33,0.00,1.0
2026-07-22,福州,二线城市,福建,晴,36,0.00,1.0
2026-07-22,金华,二线城市,浙江,阴,34,0.00,1.0
2026-07-22,温州,二线城市,浙江,晴,36,0.00,1.0
2026-07-22,无锡,二线城市,江苏,小雨,34,0.00,1.0
2026-07-22,厦门,二线城市,福建,晴,32,0.00,1.0
2026-07-22,惠州,二线城市,广东,晴,32,0.00,1.0
2026-07-22,漳州,二线城市,福建,晴,34,0.00,1.0
2026-07-22,哈尔滨,二线城市,黑龙江,多云,31,0.00,1.0
2026-07-22,徐州,二线城市,江苏,多云,31,0.00,0.9615
2026-07-22,济南,二线城市,山东,多云,33,0.00,1.0
2026-07-22,石家庄,二线城市,河北,雷阵雨,32,0.00,1.0
2026-07-22,嘉兴,二线城市,浙江,小雨,33,1.00,0.8095
2026-07-22,南宁,二线城市,广西,阵雨,32,0.00,1.0
2026-07-22,保定,二线城市,河北,雷阵雨,30,0.00,1.0
2026-07-22,太原,二线城市,山西,小雨,28,0.00,1.0
2026-07-22,长春,二线城市,吉林,多云,30,0.00,1.0
2026-07-22,兰州,二线城市,甘肃,晴,35,0.00,1.0
2026-07-22,烟台,二线城市,山东,多云,29,0.00,1.0
2026-07-22,贵阳,二线城市,贵州,多云,31,0.00,1.0
2026-07-22,昆明,二线城市,云南,小雨,27,0.00,1.0
2026-07-22,中山,二线城市,广东,中雨,32,0.00,1.0
2026-07-22,珠海,二线城市,广东,中雨,31,0.00,1.0
2026-07-22,五指山,二线城市,海南,雷阵雨,33,0.00,1.0
2026-07-22,淮安,三线城市,江苏,中雨,28,0.00,1.0
2026-07-22,洛阳,三线城市,河南,晴,33,0.00,1.0
2026-07-22,台州,三线城市,浙江,晴,35,0.00,0.9825
2026-07-22,盐城,三线城市,江苏,大雨,30,0.00,1.0
2026-07-22,开封,三线城市,河南,晴,34,0.00,0.9706
2026-07-22,湖州,三线城市,浙江,中雨,33,0.00,1.0
2026-07-22,汕头,三线城市,广东,晴,34,0.00,1.0
2026-07-22,扬州,三线城市,江苏,中雨,30,0.00,1.0
2026-07-22,绵阳,三线城市,四川,晴,37,0.00,1.0
2026-07-22,芜湖,三线城市,安徽,小雨,31,0.00,1.0
2026-07-22,济宁,三线城市,山东,晴,33,0.00,1.0
2026-07-22,镇江,三线城市,江苏,中雨,31,0.00,1.0
2026-07-22,阜阳,三线城市,安徽,小雨,30,0.00,1.0
2026-07-22,宿迁,三线城市,江苏,小雨,28,0.00,1.0
2026-07-22,赣州,三线城市,江西,多云,35,0.00,1.0
2026-07-22,六安,三线城市,安徽,大雨,28,0.00,1.0
2026-07-22,南充,三线城市,四川,晴,39,0.00,1.0
2026-07-22,枣庄,三线城市,山东,多云,32,0.00,1.0
2026-07-22,马鞍山,三线城市,安徽,小雨,29,0.00,1.0
2026-07-22,莆田,三线城市,福建,晴,34,0.00,1.0
2026-07-22,宜昌,三线城市,湖北,阴,32,0.00,1.0
2026-07-22,宁德,三线城市,福建,晴,36,0.00,1.0
2026-07-22,滁州,三线城市,安徽,中雨,28,0.00,1.0
2026-07-22,上饶,三线城市,江西,阵雨,34,0.00,1.0
2026-07-22,宿州,三线城市,安徽,小雨,28,0.00,1.0
2026-07-22,咸阳,三线城市,陕西,多云,35,0.00,1.0
2026-07-22,廊坊,三线城市,河北,大雨,28,0.00,1.0
2026-07-22,衡阳,三线城市,湖南,中雨,33,0.00,1.0
2026-07-22,揭阳,三线城市,广东,多云,34,0.00,1.0
2026-07-22,安庆,三线城市,安徽,小雨,29,0.00,1.0
2026-07-22,连云港,三线城市,江苏,阴,28,0.00,1.0
2026-07-22,银川,三线城市,宁夏,晴,35,0.00,1.0
2026-07-22,渭南,三线城市,陕西,多云,35,0.00,1.0
2026-07-22,淄博,三线城市,山东,多云,34,0.00,1.0
2026-07-22,商丘,三线城市,河南,晴,33,0.00,1.0
2026-07-22,邢台,三线城市,河北,雷阵雨,29,0.00,1.0
2026-07-22,荆州,三线城市,湖北,阴,32,0.00,0.7778
2026-07-22,岳阳,三线城市,湖南,中雨,29,0.00,1.0
2026-07-22,肇庆,三线城市,广东,中雨,30,0.00,1.0
2026-07-22,聊城,三线城市,山东,小雨,33,0.00,1.0
2026-07-22,宜春,三线城市,江西,中雨,33,0.00,1.0
2026-07-22,周口,三线城市,河南,晴,38,0.00,1.0
2026-07-22,信阳,三线城市,河南,阴,33,0.00,1.0
2026-07-22,湛江,三线城市,广东,中雨,33,0.00,1.0
2026-07-22,海口,三线城市,海南,小雨,35,0.00,1.0
2026-07-22,泰安,三线城市,山东,多云,33,0.00,1.0
2026-07-22,桂林,三线城市,广西,阵雨,30,0.00,1.0
2026-07-22,唐山,三线城市,河北,雷阵雨,29,0.00,1.0
2026-07-22,九江,三线城市,江西,雷阵雨,32,0.00,1.0
2026-07-22,菏泽,三线城市,山东,晴,34,0.00,1.0
2026-07-22,蚌埠,三线城市,安徽,中雨,27,0.00,1.0
2026-07-22,株洲,三线城市,湖南,中雨,33,0.00,1.0
2026-07-22,沧州,三线城市,河北,大雨,30,0.00,1.0
2026-07-22,柳州,三线城市,广西,阵雨,32,0.00,1.0
2026-07-22,南阳,三线城市,河南,晴,35,0.00,1.0
2026-07-22,清远,三线城市,广东,雷阵雨,31,0.00,1.0
2026-07-22,江门,三线城市,广东,多云,32,0.00,1.0
2026-07-22,潮州,三线城市,广东,晴,33,0.00,1.0
2026-07-22,驻马店,三线城市,河南,多云,36,0.00,1.0
2026-07-22,遵义,三线城市,贵州,多云,33,0.00,1.0
2026-07-22,新乡,三线城市,河南,多云,33,0.00,1.0
2026-07-22,德州,三线城市,山东,雷阵雨,33,0.00,1.0
2026-07-22,三亚,三线城市,海南,多云,34,0.00,1.0
2026-07-22,威海,三线城市,山东,晴,28,0.00,1.0
2026-07-22,运城,三线城市,山西,小雨,34,0.00,1.0
2026-07-22,邯郸,三线城市,河北,中雨,33,0.00,1.0
2026-07-22,琼海,三线城市,海南,多云,35,0.00,1.0
2026-07-22,西宁,四线城市,青海,晴,27,0.00,0.975
2026-07-22,云浮,四线城市,广东,中雨,30,0.00,1.0
2026-07-22,自贡,四线城市,四川,晴,39,0.00,1.0
2026-07-22,衢州,四线城市,浙江,多云,35,0.00,1.0
2026-07-22,龙岩,四线城市,福建,多云,34,0.00,1.0
2026-07-22,德阳,四线城市,四川,晴,38,0.00,1.0
2026-07-22,宝鸡,四线城市,陕西,小雨,38,0.00,1.0
2026-07-22,亳州,四线城市,安徽,晴,32,0.00,1.0
2026-07-22,益阳,四线城市,湖南,小雨,33,0.80,1.0
2026-07-22,三明,四线城市,福建,多云,36,0.00,1.0
2026-07-22,日照,四线城市,山东,多云,28,0.00,1.0
2026-07-22,孝感,四线城市,湖北,中雨,30,0.00,1.0
2026-07-22,茂名,四线城市,广东,雷阵雨,31,0.00,1.0
2026-07-22,黄冈,四线城市,湖北,中雨,30,0.00,1.0
2026-07-22,内江,四线城市,四川,晴,40,0.00,0.9
2026-07-22,丽水,四线城市,浙江,多云,35,0.00,1.0
2026-07-22,邵阳,四线城市,湖南,大雨,29,0.00,1.0
2026-07-22,濮阳,四线城市,河南,多云,33,0.00,1.0
2026-07-22,眉山,四线城市,四川,晴,39,0.00,0.875
2026-07-22,常德,四线城市,湖南,小雨,30,0.00,1.0
2026-07-22,营口,四线城市,辽宁,多云,30,0.00,1.0
2026-07-22,宜宾,四线城市,四川,晴,41,0.00,1.0
2026-07-22,河源,四线城市,广东,雷阵雨,35,0.00,1.0
2026-07-22,梅州,四线城市,广东,多云,35,0.00,1.0
2026-07-22,郴州,四线城市,湖南,多云,34,0.00,1.0
2026-07-22,咸宁,四线城市,湖北,中雨,29,0.00,1.0
2026-07-22,抚州,四线城市,江西,多云,35,0.00,1.0
2026-07-22,黔东南苗族侗族自治州,四线城市,贵州,晴,32,0.00,1.0
2026-07-22,汕尾,四线城市,广东,晴,31,0.00,1.0
2026-07-22,永州,四线城市,湖南,小雨,31,0.00,1.0
2026-07-22,玉林,四线城市,广西,阵雨,30,0.00,1.0
2026-07-22,百色,四线城市,广西,阵雨,34,0.00,1.0
2026-07-22,淮南,四线城市,安徽,中雨,27,0.00,1.0
2026-07-22,锦州,四线城市,辽宁,晴,32,0.00,1.0
2026-07-22,丹东,四线城市,辽宁,多云,30,0.00,1.0
2026-07-22,晋中,四线城市,山西,小雨,27,0.00,1.0
2026-07-22,衡水,四线城市,河北,中雨,31,0.00,1.0
2026-07-22,宣城,四线城市,安徽,小雨,33,0.00,1.0
2026-07-22,景德镇,四线城市,江西,多云,35,0.00,1.0
2026-07-22,许昌,四线城市,河南,多云,35,0.00,1.0
2026-07-22,韶关,四线城市,广东,雷阵雨,33,0.00,1.0
2026-07-22,盘锦,四线城市,辽宁,多云,29,0.00,1.0
2026-07-22,东营,四线城市,山东,晴,34,0.00,1.0
2026-07-22,红河哈尼族彝族自治州,四线城市,云南,小雨,30,0.00,1.0
2026-07-22,乐山,四线城市,四川,晴,40,0.00,1.0
2026-07-22,武威,四线城市,甘肃,晴,36,0.00,1.0
2026-07-22,滨州,四线城市,山东,小雨,35,0.00,1.0
2026-07-22,湘潭,四线城市,湖南,小雨,32,0.00,1.0
2026-07-22,舟山,四线城市,浙江,小雨,34,0.00,1.0
2026-07-22,黄石,四线城市,湖北,中雨,30,0.00,1.0
2026-07-22,怀化,四线城市,湖南,雷阵雨,33,0.00,1.0
2026-07-22,南平,四线城市,福建,多云,34,0.00,1.0
2026-07-22,梧州,四线城市,广西,中雨,31,0.00,1.0
2026-07-22,昭通,四线城市,云南,多云,31,0.00,1.0
2026-07-22,榆林,四线城市,陕西,小雨,30,0.00,0.75
2026-07-22,焦作,四线城市,河南,小雨,33,0.00,1.0
2026-07-22,六盘水,四线城市,贵州,多云,29,0.00,1.0
2026-07-22,赤峰,四线城市,内蒙古,阵雨,31,0.00,1.0
2026-07-22,达州,四线城市,四川,晴,38,0.00,1.0
2026-07-22,吉林,四线城市,吉林,阴,31,0.00,1.0
2026-07-22,铜陵,四线城市,安徽,阵雨,30,0.00,1.0
2026-07-22,鞍山,四线城市,辽宁,多云,33,0.00,1.0
2026-07-22,大同,四线城市,山西,小雨,28,0.00,1.0
2026-07-22,承德,四线城市,河北,雷阵雨,28,0.00,1.0
2026-07-22,大理白族自治州,四线城市,云南,小雨,26,0.00,1.0
2026-07-22,平顶山,四线城市,河南,晴,34,0.00,1.0
2026-07-22,汉中,四线城市,陕西,晴,38,0.00,1.0
2026-07-22,毕节,四线城市,贵州,多云,30,0.00,0.6667
2026-07-22,新余,四线城市,江西,阵雨,33,0.00,1.0
2026-07-22,张家口,四线城市,河北,雷阵雨,28,0.00,1.0
2026-07-22,黔南布依族苗族自治州,四线城市,贵州,晴,31,0.00,1.0
2026-07-22,白银,四线城市,甘肃,晴,33,0.00,1.0
2026-07-22,娄底,四线城市,湖南,中雨,30,1.00,0.5
2026-07-22,曲靖,四线城市,云南,多云,30,0.00,1.0
2026-07-22,吉安,四线城市,江西,多云,34,0.00,1.0
2026-07-22,黄山,四线城市,安徽,小雨,33,0.00,1.0
2026-07-22,文昌,四线城市,海南,多云,33,0.00,1.0
2026-07-22,鄂州,四线城市,湖北,中雨,29,0.00,1.0
2026-07-22,泸州,四线城市,四川,晴,40,0.00,1.0
2026-07-22,秦皇岛,四线城市,河北,雷阵雨,28,0.50,1.0
2026-07-22,长治,四线城市,山西,小雨,27,0.00,1.0
2026-07-22,大庆,四线城市,黑龙江,小雨,32,0.00,1.0
2026-07-22,临汾,四线城市,山西,小雨,33,0.00,1.0
2026-07-22,十堰,四线城市,湖北,晴,38,0.00,1.0
2026-07-22,淮北,四线城市,安徽,小雨,29,0.00,1.0
2026-07-22,恩施土家族苗族自治州,五线城市,湖北,晴,37,0.00,1.0
2026-07-22,遂宁,五线城市,四川,晴,40,0.00,1.0
2026-07-22,荆门,五线城市,湖北,阴,31,0.00,1.0
2026-07-22,广安,五线城市,四川,晴,40,0.00,1.0
2026-07-22,延安,五线城市,陕西,小雨,27,0.00,1.0
2026-07-22,天水,五线城市,甘肃,晴,35,0.00,1.0
2026-07-22,资阳,五线城市,四川,晴,40,0.00,1.0
2026-07-22,张家界,五线城市,湖南,晴,36,0.00,1.0
2026-07-22,铁岭,五线城市,辽宁,多云,32,0.00,1.0
2026-07-22,仙桃,五线城市,湖北,中雨,31,0.00,1.0
2026-07-22,朝阳,五线城市,辽宁,多云,31,0.00,1.0
2026-07-22,雅安,五线城市,四川,晴,35,0.00,1.0
2026-07-22,辽阳,五线城市,辽宁,多云,33,0.00,0.75
2026-07-22,池州,五线城市,安徽,小雨,30,0.00,1.0
2026-07-22,葫芦岛,五线城市,辽宁,阴,29,0.00,1.0
2026-07-22,贺州,五线城市,广西,中雨,31,0.00,1.0
2026-07-22,阜新,五线城市,辽宁,多云,31,0.00,1.0
2026-07-22,石嘴山,五线城市,宁夏,晴,34,0.00,1.0
2026-07-22,白城,五线城市,吉林,多云,33,0.00,1.0
2026-07-22,防城港,五线城市,广西,阵雨,31,0.00,1.0
2026-07-22,鹰潭,五线城市,江西,多云,35,0.00,1.0
2026-07-22,通化,五线城市,吉林,多云,29,0.00,1.0
2026-07-22,安康,五线城市,陕西,晴,40,0.00,1.0
2026-07-22,玉溪,五线城市,云南,小雨,28,0.00,1.0
2026-07-22,抚顺,五线城市,辽宁,多云,32,0.00,1.0
2026-07-22,楚雄彝族自治州,五线城市,云南,小雨,29,0.00,1.0
2026-07-22,西双版纳傣族自治州,五线城市,云南,阵雨,33,0.00,1.0
2026-07-22,济源,五线城市,河南,多云,33,0.00,1.0
2026-07-22,文山壮族苗族自治州,五线城市,云南,小雨,30,0.00,1.0
2026-07-22,四平,五线城市,吉林,阴,29,0.00,1.0
2026-07-22,佳木斯,五线城市,黑龙江,小雨,31,0.00,1.0
2026-07-22,儋州,五线城市,海南,雷阵雨,35,0.00,1.0
2026-07-22,萍乡,五线城市,江西,阵雨,32,0.00,1.0
