城市分层,省份,城市,当天天气,温度,配送费,占比,明日天气,后日天气,大后天天气
一线城市,上海,上海,小雨,33,0.0,1.0,小雨 32°C,小雨 33°C,小雨 33°C
一线城市,北京,北京,雷阵雨,30,0.0,1.0,雷阵雨 31°C,雷阵雨 30°C,雷阵雨 32°C
一线城市,广东,广州,中雨,31,0.0,0.7273,中雨 30°C,雷阵雨 33°C,多云 34°C
一线城市,广东,深圳,雷阵雨,30,0.0,1.0,中雨 30°C,晴 31°C,多云 31°C
新一线城市,广东,东莞,雷阵雨,31,0.0,1.0,中雨 31°C,雷阵雨 32°C,多云 34°C
新一线城市,广东,佛山,中雨,31,0.0,1.0,大雨 31°C,雷阵雨 32°C,多云 34°C
新一线城市,江苏,南京,小雨,30,0.0,1.0,小雨 31°C,大雨 30°C,中雨 29°C
新一线城市,安徽,合肥,小雨,30,0.0,0.9968,小雨 31°C,中雨 29°C,小雨 29°C
新一线城市,天津,天津,雷阵雨,33,0.0,1.0,多云 33°C,阴 31°C,阴 32°C
新一线城市,浙江,杭州,中雨,34,0.0,1.0,小雨 33°C,小雨 33°C,小雨 34°C
新一线城市,湖北,武汉,阵雨,34,0.0,1.0,小雨 31°C,中雨 30°C,小雨 34°C
新一线城市,江苏,苏州,中雨,33,0.0,1.0,小雨 31°C,小雨 32°C,小雨 35°C
新一线城市,陕西,西安,晴,35,0.0,1.0,小雨 35°C,晴 37°C,小雨 36°C
新一线城市,河南,郑州,晴,34,0.0,1.0,晴 35°C,晴 34°C,小雨 34°C
新一线城市,湖南,长沙,小雨,29,0.0,0.7937,中雨 31°C,中雨 32°C,晴 35°C
新一线城市,山东,青岛,晴,26,0.0,1.0,晴 27°C,阴 28°C,阴 28°C
二线城市,广东,中山,小雨,31,0.0,1.0,中雨 31°C,小雨 31°C,多云 32°C
二线城市,山东,临沂,多云,30,0.0,1.0,多云 31°C,多云 31°C,小雨 32°C
二线城市,海南,五指山,多云,32,0.0,1.0,雷阵雨 32°C,多云 33°C,阴 33°C
二线城市,河北,保定,雷阵雨,33,0.0,1.0,阴 31°C,雷阵雨 30°C,雷阵雨 31°C
二线城市,甘肃,兰州,晴,33,0.0,1.0,多云 33°C,晴 34°C,晴 35°C
二线城市,广西,南宁,大雨,29,0.0,1.0,中雨 30°C,大雨 30°C,阵雨 30°C
二线城市,江西,南昌,中雨,29,0.0,1.0,中雨 30°C,雷阵雨 33°C,多云 34°C
二线城市,江苏,南通,中雨,32,0.0,0.9943,中雨 32°C,小雨 31°C,小雨 32°C
二线城市,福建,厦门,小雨,29,0.0,1.0,多云 31°C,晴 32°C,晴 33°C
二线城市,黑龙江,哈尔滨,雷阵雨,30,0.0,1.0,雷阵雨 30°C,雷阵雨 30°C,雷阵雨 30°C
二线城市,浙江,嘉兴,小雨,34,0.3,1.0,中雨 31°C,小雨 34°C,小雨 34°C
二线城市,山西,太原,小雨,30,0.0,1.0,小雨 29°C,小雨 28°C,小雨 28°C
二线城市,江苏,常州,中雨,30,0.0,1.0,阴 32°C,小雨 31°C,小雨 32°C
二线城市,江苏,徐州,晴,30,0.0,0.9615,多云 30°C,小雨 31°C,小雨 28°C
二线城市,广东,惠州,雷阵雨,32,0.0,1.0,中雨 32°C,晴 33°C,多云 34°C
二线城市,江苏,无锡,中雨,33,0.0,1.0,中雨 32°C,中雨 34°C,阴 34°C
二线城市,云南,昆明,多云,28,0.0,1.0,多云 28°C,阵雨 27°C,小雨 25°C
二线城市,辽宁,沈阳,雷阵雨,30,0.0,0.9923,多云 31°C,多云 32°C,雷阵雨 32°C
二线城市,福建,泉州,小雨,30,0.0,1.0,多云 33°C,晴 33°C,晴 35°C
二线城市,山东,济南,阴,33,0.0,1.0,多云 34°C,小雨 32°C,小雨 33°C
二线城市,浙江,温州,多云,35,0.0,1.0,小雨 35°C,小雨 35°C,小雨 36°C
二线城市,福建,漳州,小雨,31,0.0,1.0,多云 33°C,多云 34°C,晴 35°C
二线城市,山东,烟台,晴,29,0.0,1.0,晴 27°C,多云 27°C,阴 30°C
二线城市,广东,珠海,雷阵雨,31,0.0,1.0,中雨 30°C,雷阵雨 31°C,多云 31°C
二线城市,河北,石家庄,雷阵雨,34,0.0,1.0,多云 35°C,雷阵雨 31°C,雷阵雨 29°C
二线城市,福建,福州,中雨,33,0.0,1.0,多云 35°C,晴 36°C,晴 37°C
二线城市,贵州,贵阳,多云,29,0.0,1.0,多云 30°C,多云 29°C,多云 30°C
二线城市,浙江,金华,大雨,34,0.0,1.0,小雨 32°C,小雨 32°C,小雨 36°C
二线城市,吉林,长春,小雨,27,0.0,1.0,小雨 31°C,多云 30°C,小雨 29°C
三线城市,海南,三亚,小雨,33,0.0,1.0,多云 34°C,小雨 33°C,晴 33°C
三线城市,江西,上饶,中雨,31,0.0,1.0,雷阵雨 32°C,多云 34°C,晴 36°C
三线城市,江西,九江,小雨,29,0.0,1.0,中雨 29°C,小雨 31°C,阴 32°C
三线城市,河南,信阳,晴,33,0.0,1.0,晴 34°C,小雨 32°C,小雨 33°C
三线城市,安徽,六安,小雨,30,0.0,1.0,小雨 31°C,中雨 28°C,小雨 30°C
三线城市,四川,南充,晴,40,0.0,1.0,晴 40°C,晴 39°C,晴 39°C
三线城市,河南,南阳,晴,35,0.0,1.0,晴 35°C,晴 35°C,小雨 35°C
三线城市,浙江,台州,多云,33,0.0,0.9825,多云 33°C,小雨 34°C,小雨 35°C
三线城市,河南,周口,晴,36,0.0,1.0,晴 37°C,多云 37°C,小雨 36°C
三线城市,陕西,咸阳,晴,37,0.0,1.0,小雨 37°C,晴 36°C,小雨 35°C
三线城市,河北,唐山,雷阵雨,31,0.0,1.0,雷阵雨 31°C,中雨 30°C,多云 30°C
三线城市,河南,商丘,晴,32,0.0,1.0,晴 33°C,晴 33°C,小雨 34°C
三线城市,山东,威海,多云,28,0.0,1.0,小雨 26°C,多云 28°C,多云 30°C
三线城市,福建,宁德,小雨,35,0.0,1.0,小雨 34°C,多云 36°C,晴 37°C
三线城市,安徽,安庆,大雨,27,0.0,1.0,中雨 28°C,小雨 29°C,小雨 30°C
三线城市,湖北,宜昌,晴,34,0.0,1.0,阵雨 34°C,阵雨 32°C,小雨 34°C
三线城市,江西,宜春,中雨,29,0.0,1.0,中雨 32°C,雷阵雨 33°C,多云 34°C
三线城市,安徽,宿州,多云,32,0.0,1.0,多云 32°C,小雨 31°C,小雨 30°C
三线城市,江苏,宿迁,阴,29,0.0,1.0,多云 31°C,小雨 28°C,小雨 27°C
三线城市,湖南,岳阳,小雨,29,0.0,1.0,小雨 29°C,中雨 30°C,多云 32°C
三线城市,河北,廊坊,中雨,32,0.0,1.0,雷阵雨 31°C,中雨 31°C,多云 30°C
三线城市,河南,开封,晴,34,0.0,0.9706,晴 35°C,多云 34°C,小雨 33°C
三线城市,山东,德州,多云,32,0.0,1.0,雷阵雨 33°C,雷阵雨 32°C,雷阵雨 32°C
三线城市,江苏,扬州,中雨,30,0.0,1.0,中雨 31°C,中雨 30°C,小雨 31°C
三线城市,广东,揭阳,中雨,32,0.0,1.0,雷阵雨 32°C,多云 33°C,多云 34°C
三线城市,河南,新乡,晴,33,0.0,1.0,晴 34°C,小雨 34°C,小雨 33°C
三线城市,山东,枣庄,多云,30,0.0,1.0,晴 30°C,多云 30°C,小雨 30°C
三线城市,广西,柳州,暴雨,29,0.0,1.0,中雨 31°C,阵雨 33°C,阵雨 35°C
三线城市,湖南,株洲,小雨,29,0.0,1.0,中雨 29°C,小雨 26°C,小雨 31°C
三线城市,广西,桂林,大雨,28,0.0,1.0,中雨 30°C,阵雨 32°C,阵雨 30°C
三线城市,广东,汕头,雷阵雨,32,0.0,1.0,雷阵雨 32°C,雷阵雨 33°C,多云 34°C
三线城市,广东,江门,中雨,31,0.0,1.0,大雨 32°C,中雨 33°C,多云 33°C
三线城市,河北,沧州,多云,36,0.0,1.0,阴 35°C,雷阵雨 34°C,雷阵雨 32°C
三线城市,山东,泰安,晴,32,0.0,1.0,晴 32°C,晴 33°C,小雨 32°C
三线城市,河南,洛阳,晴,34,0.0,1.0,小雨 35°C,晴 33°C,小雨 32°C
三线城市,山东,济宁,晴,33,0.0,1.0,多云 32°C,晴 33°C,小雨 32°C
三线城市,海南,海口,小雨,35,0.0,1.0,小雨 35°C,小雨 34°C,小雨 35°C
三线城市,山东,淄博,晴,33,0.0,1.0,晴 33°C,多云 32°C,晴 33°C
三线城市,江苏,淮安,小雨,29,0.0,1.0,阴 30°C,中雨 28°C,中雨 29°C
三线城市,广东,清远,中雨,31,0.0,1.0,大雨 29°C,中雨 31°C,多云 34°C
三线城市,陕西,渭南,晴,40,0.0,1.0,小雨 40°C,晴 35°C,小雨 34°C
三线城市,浙江,湖州,小雨,32,0.0,1.0,中雨 31°C,小雨 31°C,中雨 35°C
三线城市,广东,湛江,雷阵雨,33,0.0,1.0,雷阵雨 33°C,中雨 34°C,小雨 31°C
三线城市,安徽,滁州,中雨,29,0.0,1.0,小雨 31°C,小雨 30°C,中雨 30°C
三线城市,广东,潮州,雷阵雨,31,0.0,1.0,雷阵雨 32°C,晴 32°C,多云 34°C
