城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
上海,一线城市,上海,小雨,34,0.00,1.0
北京,一线城市,北京,小雨,27,0.00,1.0
广州,一线城市,广东,雷阵雨,33,0.00,0.5682
深圳,一线城市,广东,雷阵雨,32,0.00,1.0
东莞,新一线城市,广东,中雨,33,0.00,1.0
佛山,新一线城市,广东,中雨,32,0.00,1.0
南京,新一线城市,江苏,大雨,28,0.00,1.0
合肥,新一线城市,安徽,中雨,28,0.00,0.9968
天津,新一线城市,天津,中雨,30,0.00,1.0
杭州,新一线城市,浙江,小雨,35,0.00,1.0
武汉,新一线城市,湖北,中雨,30,0.00,1.0
苏州,新一线城市,江苏,小雨,34,0.00,1.0
西安,新一线城市,陕西,多云,37,0.00,1.0
郑州,新一线城市,河南,晴,34,0.00,1.0
长沙,新一线城市,湖南,雷阵雨,31,0.00,0.4762
青岛,新一线城市,山东,多云,27,0.00,1.0
中山,二线城市,广东,中雨,32,0.00,1.0
临沂,二线城市,山东,多云,31,0.00,1.0
五指山,二线城市,海南,雷阵雨,33,0.00,1.0
保定,二线城市,河北,雷阵雨,30,0.00,1.0
兰州,二线城市,甘肃,晴,35,0.00,1.0
南宁,二线城市,广西,阵雨,32,0.00,1.0
南昌,二线城市,江西,雷阵雨,33,0.00,1.0
南通,二线城市,江苏,小雨,31,0.00,0.9943
厦门,二线城市,福建,晴,32,0.00,1.0
哈尔滨,二线城市,黑龙江,多云,31,0.00,1.0
嘉兴,二线城市,浙江,小雨,33,1.00,0.8095
太原,二线城市,山西,小雨,28,0.00,1.0
常州,二线城市,江苏,中雨,33,0.00,1.0
徐州,二线城市,江苏,多云,31,0.00,0.9615
惠州,二线城市,广东,晴,32,0.00,1.0
无锡,二线城市,江苏,小雨,34,0.00,1.0
昆明,二线城市,云南,小雨,27,0.00,1.0
沈阳,二线城市,辽宁,多云,31,0.00,0.9923
泉州,二线城市,福建,晴,33,0.00,1.0
济南,二线城市,山东,多云,33,0.00,1.0
温州,二线城市,浙江,晴,36,0.00,1.0
漳州,二线城市,福建,晴,34,0.00,1.0
烟台,二线城市,山东,多云,29,0.00,1.0
珠海,二线城市,广东,中雨,31,0.00,1.0
石家庄,二线城市,河北,雷阵雨,32,0.00,1.0
福州,二线城市,福建,晴,36,0.00,1.0
贵阳,二线城市,贵州,多云,31,0.00,1.0
金华,二线城市,浙江,阴,34,0.00,1.0
长春,二线城市,吉林,多云,30,0.00,1.0
三亚,三线城市,海南,多云,34,0.00,1.0
上饶,三线城市,江西,阵雨,34,0.00,1.0
九江,三线城市,江西,雷阵雨,32,0.00,1.0
信阳,三线城市,河南,阴,33,0.00,1.0
六安,三线城市,安徽,大雨,28,0.00,1.0
南充,三线城市,四川,晴,39,0.00,1.0
南阳,三线城市,河南,晴,35,0.00,1.0
台州,三线城市,浙江,晴,35,0.00,0.9825
周口,三线城市,河南,晴,38,0.00,1.0
咸阳,三线城市,陕西,多云,35,0.00,1.0
唐山,三线城市,河北,雷阵雨,29,0.00,1.0
商丘,三线城市,河南,晴,33,0.00,1.0
威海,三线城市,山东,晴,28,0.00,1.0
宁德,三线城市,福建,晴,36,0.00,1.0
安庆,三线城市,安徽,小雨,29,0.00,1.0
宜昌,三线城市,湖北,阴,32,0.00,1.0
宜春,三线城市,江西,中雨,33,0.00,1.0
宿州,三线城市,安徽,小雨,28,0.00,1.0
宿迁,三线城市,江苏,小雨,28,0.00,1.0
岳阳,三线城市,湖南,中雨,29,0.00,1.0
廊坊,三线城市,河北,大雨,28,0.00,1.0
开封,三线城市,河南,晴,34,0.00,0.9706
德州,三线城市,山东,雷阵雨,33,0.00,1.0
扬州,三线城市,江苏,中雨,30,0.00,1.0
揭阳,三线城市,广东,多云,34,0.00,1.0
新乡,三线城市,河南,多云,33,0.00,1.0
枣庄,三线城市,山东,多云,32,0.00,1.0
柳州,三线城市,广西,阵雨,32,0.00,1.0
株洲,三线城市,湖南,中雨,33,0.00,1.0
桂林,三线城市,广西,阵雨,30,0.00,1.0
汕头,三线城市,广东,晴,34,0.00,1.0
江门,三线城市,广东,多云,32,0.00,1.0
沧州,三线城市,河北,大雨,30,0.00,1.0
泰安,三线城市,山东,多云,33,0.00,1.0
洛阳,三线城市,河南,晴,33,0.00,1.0
济宁,三线城市,山东,晴,33,0.00,1.0
海口,三线城市,海南,小雨,35,0.00,1.0
淄博,三线城市,山东,多云,34,0.00,1.0
淮安,三线城市,江苏,中雨,28,0.00,1.0
清远,三线城市,广东,雷阵雨,31,0.00,1.0
渭南,三线城市,陕西,多云,35,0.00,1.0
湖州,三线城市,浙江,中雨,33,0.00,1.0
湛江,三线城市,广东,中雨,33,0.00,1.0
滁州,三线城市,安徽,中雨,28,0.00,1.0
潮州,三线城市,广东,晴,33,0.00,1.0
琼海,三线城市,海南,多云,35,0.00,1.0
盐城,三线城市,江苏,大雨,30,0.00,1.0
绵阳,三线城市,四川,晴,37,0.00,1.0
聊城,三线城市,山东,小雨,33,0.00,1.0
肇庆,三线城市,广东,中雨,30,0.00,1.0
芜湖,三线城市,安徽,小雨,31,0.00,1.0
荆州,三线城市,湖北,阴,32,0.00,0.7778
莆田,三线城市,福建,晴,34,0.00,1.0
菏泽,三线城市,山东,晴,34,0.00,1.0
蚌埠,三线城市,安徽,中雨,27,0.00,1.0
衡阳,三线城市,湖南,中雨,33,0.00,1.0
赣州,三线城市,江西,多云,35,0.00,1.0
运城,三线城市,山西,小雨,34,0.00,1.0
连云港,三线城市,江苏,阴,28,0.00,1.0
遵义,三线城市,贵州,多云,33,0.00,1.0
邢台,三线城市,河北,雷阵雨,29,0.00,1.0
邯郸,三线城市,河北,中雨,33,0.00,1.0
银川,三线城市,宁夏,晴,35,0.00,1.0
镇江,三线城市,江苏,中雨,31,0.00,1.0
阜阳,三线城市,安徽,小雨,30,0.00,1.0
马鞍山,三线城市,安徽,小雨,29,0.00,1.0
驻马店,三线城市,河南,多云,36,0.00,1.0
三明,四线城市,福建,多云,36,0.00,1.0
东营,四线城市,山东,晴,34,0.00,1.0
临汾,四线城市,山西,小雨,33,0.00,1.0
丹东,四线城市,辽宁,多云,30,0.00,1.0
丽水,四线城市,浙江,多云,35,0.00,1.0
乐山,四线城市,四川,晴,40,0.00,1.0
云浮,四线城市,广东,中雨,30,0.00,1.0
亳州,四线城市,安徽,晴,32,0.00,1.0
六盘水,四线城市,贵州,多云,29,0.00,1.0
内江,四线城市,四川,晴,40,0.00,0.9
十堰,四线城市,湖北,晴,38,0.00,1.0
南平,四线城市,福建,多云,34,0.00,1.0
吉安,四线城市,江西,多云,34,0.00,1.0
吉林,四线城市,吉林,阴,31,0.00,1.0
咸宁,四线城市,湖北,中雨,29,0.00,1.0
大同,四线城市,山西,小雨,28,0.00,1.0
大庆,四线城市,黑龙江,小雨,32,0.00,1.0
大理白族自治州,四线城市,云南,小雨,26,0.00,1.0
娄底,四线城市,湖南,中雨,30,1.00,0.5
孝感,四线城市,湖北,中雨,30,0.00,1.0
宜宾,四线城市,四川,晴,41,0.00,1.0
宝鸡,四线城市,陕西,小雨,38,0.00,1.0
宣城,四线城市,安徽,小雨,33,0.00,1.0
常德,四线城市,湖南,小雨,30,0.00,1.0
平顶山,四线城市,河南,晴,34,0.00,1.0
张家口,四线城市,河北,雷阵雨,28,0.00,1.0
德阳,四线城市,四川,晴,38,0.00,1.0
怀化,四线城市,湖南,雷阵雨,33,0.00,1.0
承德,四线城市,河北,雷阵雨,28,0.00,1.0
抚州,四线城市,江西,多云,35,0.00,1.0
文昌,四线城市,海南,多云,33,0.00,1.0
新余,四线城市,江西,阵雨,33,0.00,1.0
日照,四线城市,山东,多云,28,0.00,1.0
昭通,四线城市,云南,多云,31,0.00,1.0
晋中,四线城市,山西,小雨,27,0.00,1.0
景德镇,四线城市,江西,多云,35,0.00,1.0
曲靖,四线城市,云南,多云,30,0.00,1.0
梅州,四线城市,广东,多云,35,0.00,1.0
梧州,四线城市,广西,中雨,31,0.00,1.0
榆林,四线城市,陕西,小雨,30,0.00,0.75
武威,四线城市,甘肃,晴,36,0.00,1.0
毕节,四线城市,贵州,多云,30,0.00,0.6667
永州,四线城市,湖南,小雨,31,0.00,1.0
汉中,四线城市,陕西,晴,38,0.00,1.0
汕尾,四线城市,广东,晴,31,0.00,1.0
河源,四线城市,广东,雷阵雨,35,0.00,1.0
泸州,四线城市,四川,晴,40,0.00,1.0
淮北,四线城市,安徽,小雨,29,0.00,1.0
淮南,四线城市,安徽,中雨,27,0.00,1.0
湘潭,四线城市,湖南,小雨,32,0.00,1.0
滨州,四线城市,山东,小雨,35,0.00,1.0
濮阳,四线城市,河南,多云,33,0.00,1.0
焦作,四线城市,河南,小雨,33,0.00,1.0
玉林,四线城市,广西,阵雨,30,0.00,1.0
白银,四线城市,甘肃,晴,33,0.00,1.0
百色,四线城市,广西,阵雨,34,0.00,1.0
益阳,四线城市,湖南,小雨,33,0.80,1.0
盘锦,四线城市,辽宁,多云,29,0.00,1.0
眉山,四线城市,四川,晴,39,0.00,0.875
秦皇岛,四线城市,河北,雷阵雨,28,0.50,1.0
红河哈尼族彝族自治州,四线城市,云南,小雨,30,0.00,1.0
自贡,四线城市,四川,晴,39,0.00,1.0
舟山,四线城市,浙江,小雨,34,0.00,1.0
茂名,四线城市,广东,雷阵雨,31,0.00,1.0
营口,四线城市,辽宁,多云,30,0.00,1.0
衡水,四线城市,河北,中雨,31,0.00,1.0
