城市分层,省份,城市,天气,温度,配送费,配送费占比,明日天气,后日天气,
一线城市,上海,上海,小雨,33,0.00,1.0,小雨,多云,
一线城市,北京,北京,小雨,28,0.00,1.0,小雨,雷阵雨,
一线城市,广东,广州,中雨,30,0.00,0.5682,晴,多云,
一线城市,广东,深圳,雷阵雨,31,0.00,1.0,晴,多云,
新一线城市,广东,东莞,雷阵雨,31,0.00,1.0,晴,多云,
新一线城市,广东,佛山,中雨,31,0.00,1.0,雷阵雨,多云,
新一线城市,江苏,南京,中雨,28,0.00,1.0,中雨,小雨,
新一线城市,安徽,合肥,小雨,29,0.00,0.9968,中雨,小雨,
新一线城市,天津,天津,雷阵雨,31,0.00,1.0,雷阵雨,阴,
新一线城市,浙江,杭州,小雨,34,0.00,1.0,多云,小雨,
新一线城市,湖北,武汉,小雨,29,0.00,1.0,小雨,阴,
新一线城市,江苏,苏州,小雨,32,0.00,1.0,小雨,多云,
新一线城市,陕西,西安,小雨,37,0.00,1.0,多云,晴,
新一线城市,河南,郑州,晴,35,0.00,1.0,中雨,小雨,
新一线城市,湖南,长沙,中雨,30,0.00,0.4762,小雨,小雨,
新一线城市,山东,青岛,阴,27,0.00,1.0,小雨,小雨,
二线城市,广东,中山,中雨,34,0.00,1.0,多云,多云,
二线城市,山东,临沂,阴,32,0.00,1.0,小雨,小雨,
二线城市,海南,五指山,多云,32,0.00,1.0,雷阵雨,小雨,
二线城市,河北,保定,中雨,31,0.00,1.0,雷阵雨,多云,
二线城市,甘肃,兰州,晴,35,0.00,1.0,晴,多云,
二线城市,广西,南宁,大雨,30,0.00,1.0,中雨,阵雨,
二线城市,江西,南昌,雷阵雨,32,0.00,1.0,雷阵雨,多云,
二线城市,江苏,南通,中雨,32,0.00,0.9943,小雨,多云,
二线城市,福建,厦门,晴,32,0.00,1.0,晴,晴,
二线城市,黑龙江,哈尔滨,雷阵雨,29,0.00,1.0,雷阵雨,小雨,
二线城市,浙江,嘉兴,小雨,34,1.00,0.8095,多云,小雨,
二线城市,山西,太原,小雨,30,0.00,1.0,小雨,晴,
二线城市,江苏,常州,中雨,31,0.00,1.0,小雨,小雨,
二线城市,江苏,徐州,晴,32,0.00,0.9615,小雨,小雨,
二线城市,广东,惠州,雷阵雨,33,0.00,1.0,多云,多云,
