城市分层,省份,城市,2026-07-17天气,2026-07-17温度,配送费,配送费占比,2026-07-18天气,2026-07-19天气,2026-07-20天气
一线城市,上海,上海,阴,38,0.50,0.5221,小雨,中雨,中雨
一线城市,北京,北京,晴,32,0.50,0.59,小雨,多云,雷阵雨
一线城市,广东,广州,中雨,31,0.50,0.3636,雷阵雨,中雨,雷阵雨
一线城市,广东,深圳,中雨,28,0.00,0.6485,雷阵雨,雷阵雨,雷阵雨
新一线城市,天津,天津,小雨,33,0.50,0.5263,雷阵雨,多云,阴
新一线城市,安徽,合肥,小雨,35,0.00,0.7025,小雨,小雨,小雨
新一线城市,山东,青岛,中雨,26,0.00,0.6078,多云,多云,晴
新一线城市,广东,东莞,中雨,30,0.00,0.7419,雷阵雨,中雨,雷阵雨
新一线城市,广东,佛山,中雨,31,0.00,0.6,雷阵雨,雷阵雨,雷阵雨
新一线城市,江苏,南京,小雨,35,0.00,0.5176,阴,大雨,小雨
新一线城市,江苏,苏州,阴,36,0.00,0.5385,小雨,大雨,中雨
新一线城市,河南,郑州,中雨,30,0.00,0.6087,多云,晴,晴
新一线城市,浙江,杭州,多云,37,0.00,0.506,小雨,小雨,中雨
新一线城市,湖北,武汉,阴,36,0.50,0.529,小雨,阴,小雨
新一线城市,湖南,长沙,小雨,38,0.00,0.6508,雷阵雨,中雨,小雨
新一线城市,陕西,西安,多云,33,0.50,0.5345,多云,晴,晴
二线城市,云南,昆明,中雨,26,0.50,0.6667,小雨,小雨,多云
二线城市,吉林,长春,多云,29,0.50,0.5714,阴,小雨,小雨
二线城市,山东,临沂,暴雨,29,0.00,0.84,多云,晴,晴
二线城市,山东,济南,大雨,30,0.00,0.8636,多云,多云,多云
二线城市,山东,烟台,小雨,24,0.00,1.0,多云,晴,晴
二线城市,山西,太原,多云,29,0.00,0.5625,小雨,晴,小雨
二线城市,广东,中山,中雨,30,0.50,0.6,雷阵雨,中雨,雷阵雨
二线城市,广东,惠州,大雨,31,0.00,0.7333,雷阵雨,中雨,雷阵雨
二线城市,广东,珠海,大雨,28,0.00,1.0,雷阵雨,中雨,雷阵雨
二线城市,广西,南宁,中雨,30,0.00,0.7895,阵雨,中雨,阵雨
二线城市,江苏,南通,阴,36,0.00,0.7627,中雨,小雨,中雨
二线城市,江苏,常州,阴,36,0.00,0.5625,小雨,大雨,小雨
二线城市,江苏,徐州,中雨,32,0.00,0.7692,多云,晴,晴
二线城市,江苏,无锡,小雨,38,0.00,0.5429,小雨,中雨,中雨
二线城市,江西,南昌,多云,35,0.00,0.5263,雷阵雨,中雨,中雨
二线城市,河北,保定,多云,31,0.00,1.0,雷阵雨,阴,雷阵雨
二线城市,河北,石家庄,阴,29,0.00,0.8261,多云,多云,雷阵雨
二线城市,浙江,嘉兴,多云,36,0.30,1.0,多云,小雨,中雨
二线城市,浙江,温州,多云,37,0.00,0.7714,多云,小雨,小雨
二线城市,浙江,金华,多云,35,0.00,0.725,小雨,小雨,中雨
二线城市,海南,五指山,多云,31,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
二线城市,甘肃,兰州,多云,31,0.50,0.5,多云,晴,晴
二线城市,福建,厦门,小雨,31,0.00,0.5625,小雨,小雨,雷阵雨
二线城市,福建,泉州,小雨,32,0.00,0.82,小雨,小雨,小雨
二线城市,福建,漳州,小雨,32,0.00,1.0,小雨,小雨,小雨
二线城市,福建,福州,多云,36,0.50,0.5909,小雨,大雨,小雨
二线城市,贵州,贵阳,多云,30,0.00,0.625,阵雨,阵雨,阴
二线城市,辽宁,沈阳,多云,31,0.00,0.5492,多云,雷阵雨,多云
二线城市,黑龙江,哈尔滨,晴,28,0.00,0.7037,多云,多云,雷阵雨
三线城市,四川,南充,多云,36,0.00,1.0,多云,晴,晴
三线城市,四川,绵阳,多云,34,0.00,1.0,阴,晴,晴
三线城市,宁夏,银川,多云,32,0.00,0.6,多云,晴,晴
三线城市,安徽,六安,小雨,35,0.00,1.0,小雨,小雨,阴
三线城市,安徽,安庆,晴,33,0.00,1.0,中雨,小雨,小雨
三线城市,安徽,宿州,中雨,32,0.00,1.0,小雨,晴,多云
三线城市,安徽,滁州,小雨,35,0.00,1.0,小雨,小雨,小雨
三线城市,安徽,芜湖,晴,35,0.00,1.0,小雨,小雨,中雨
三线城市,安徽,蚌埠,小雨,34,0.00,1.0,小雨,多云,多云
三线城市,安徽,阜阳,小雨,33,0.00,1.0,小雨,晴,多云
三线城市,安徽,马鞍山,晴,35,0.00,1.0,小雨,中雨,小雨
三线城市,山东,威海,小雨,25,0.00,1.0,多云,多云,晴
三线城市,山东,德州,雷阵雨,31,0.00,1.0,多云,多云,晴
三线城市,山东,枣庄,暴雨,29,0.00,1.0,阴,晴,晴
三线城市,山东,泰安,暴雨,26,0.00,1.0,晴,晴,晴
三线城市,山东,济宁,大雨,27,0.00,1.0,多云,阴,晴
三线城市,山东,淄博,中雨,28,0.00,0.6667,多云,多云,晴
三线城市,山东,聊城,大雨,30,0.00,1.0,多云,多云,晴
三线城市,山东,菏泽,大雨,30,0.00,1.0,多云,晴,多云
三线城市,山西,运城,晴,29,0.00,1.0,多云,晴,晴
三线城市,广东,揭阳,中雨,30,0.00,0.8182,中雨,雷阵雨,中雨
三线城市,广东,汕头,雷阵雨,31,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
三线城市,广东,江门,中雨,30,0.00,1.0,雷阵雨,中雨,雷阵雨
三线城市,广东,清远,雷阵雨,30,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
三线城市,广东,湛江,多云,32,0.00,0.875,多云,多云,雷阵雨
三线城市,广东,潮州,中雨,31,0.00,1.0,雷阵雨,雷阵雨,中雨
三线城市,广东,肇庆,雷阵雨,31,0.00,1.0,雷阵雨,中雨,雷阵雨
三线城市,广西,柳州,阵雨,34,0.00,1.0,阵雨,阵雨,阵雨
三线城市,广西,桂林,阵雨,33,0.00,1.0,阵雨,阵雨,阵雨
三线城市,江苏,宿迁,中雨,34,0.00,1.0,阴,阴,多云
三线城市,江苏,扬州,小雨,36,0.00,0.6786,多云,中雨,小雨
三线城市,江苏,淮安,小雨,33,0.00,0.7042,小雨,阴,小雨
三线城市,江苏,盐城,小雨,34,0.00,0.8056,小雨,小雨,小雨
三线城市,江苏,连云港,中雨,31,0.00,1.0,阴,阴,多云
三线城市,江苏,镇江,小雨,36,0.00,0.7,多云,小雨,小雨
三线城市,江西,上饶,晴,35,0.00,1.0,多云,小雨,小雨
三线城市,江西,九江,多云,35,0.00,0.8571,雷阵雨,小雨,中雨
三线城市,江西,宜春,多云,35,0.00,1.0,雷阵雨,雷阵雨,阵雨
三线城市,江西,赣州,多云,36,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
三线城市,河北,唐山,阴,31,0.00,0.7143,多云,多云,雷阵雨
三线城市,河北,廊坊,多云,31,0.00,1.0,雷阵雨,阴,雷阵雨
三线城市,河北,沧州,阴,30,0.00,1.0,阴,多云,雷阵雨
三线城市,河北,邢台,雷阵雨,27,0.00,1.0,中雨,多云,雷阵雨
三线城市,河北,邯郸,雷阵雨,29,0.00,1.0,雷阵雨,晴,多云
三线城市,河南,信阳,大雨,33,0.00,1.0,小雨,阴,多云
三线城市,河南,南阳,中雨,32,0.00,1.0,多云,晴,晴
三线城市,河南,周口,小雨,32,0.00,1.0,阴,多云,晴
三线城市,河南,商丘,中雨,31,0.00,1.0,多云,多云,晴
三线城市,河南,开封,中雨,31,0.00,0.9706,阴,晴,晴
三线城市,河南,新乡,大雨,28,0.00,1.0,阴,晴,晴
三线城市,河南,洛阳,小雨,28,0.00,1.0,阴,晴,晴
三线城市,河南,驻马店,大雨,34,0.00,1.0,阴,多云,晴
三线城市,浙江,台州,多云,36,0.00,0.5965,多云,小雨,小雨
三线城市,浙江,湖州,多云,37,0.00,0.7667,小雨,中雨,中雨
三线城市,海南,三亚,小雨,32,0.50,0.6667,小雨,小雨,多云
三线城市,海南,海口,小雨,35,0.50,0.5,小雨,小雨,雷阵雨
三线城市,海南,琼海,多云,35,0.00,1.0,雷阵雨,多云,多云
三线城市,湖北,宜昌,小雨,35,0.00,0.7143,小雨,阴,晴
三线城市,湖北,荆州,小雨,35,0.00,0.75,小雨,阴,多云
三线城市,湖南,岳阳,多云,35,0.00,1.0,小雨,中雨,小雨
三线城市,湖南,株洲,阴,37,0.00,1.0,小雨,小雨,小雨
三线城市,湖南,衡阳,多云,36,0.00,1.0,阴,小雨,小雨
三线城市,福建,宁德,多云,37,0.00,1.0,小雨,小雨,小雨
三线城市,福建,莆田,小雨,33,0.00,0.7857,小雨,小雨,小雨
三线城市,贵州,遵义,阵雨,33,0.00,1.0,阵雨,阵雨,多云
三线城市,陕西,咸阳,多云,33,0.00,0.7273,多云,晴,晴
三线城市,陕西,渭南,多云,35,0.00,1.0,多云,晴,晴
四线城市,云南,大理白族自治州,小雨,24,0.00,1.0,中雨,小雨,多云
四线城市,云南,昭通,小雨,25,0.00,1.0,多云,多云,晴
四线城市,云南,曲靖,小雨,27,0.00,1.0,小雨,小雨,阵雨
四线城市,云南,红河哈尼族彝族自治州,中雨,27,0.00,1.0,中雨,中雨,中雨
四线城市,内蒙古,赤峰,多云,30,0.00,1.0,小雨,多云,中雨
四线城市,吉林,吉林,小雨,28,0.00,1.0,阴,小雨,小雨
四线城市,四川,乐山,阵雨,33,0.00,1.0,多云,晴,晴
四线城市,四川,内江,雷阵雨,34,0.00,0.9091,阵雨,晴,晴
四线城市,四川,宜宾,大雨,33,0.00,1.0,阵雨,多云,晴
四线城市,四川,德阳,多云,33,0.00,1.0,阴,晴,晴
四线城市,四川,泸州,大雨,33,0.00,1.0,阵雨,多云,晴
四线城市,四川,眉山,阵雨,32,0.00,0.875,阴,晴,晴
四线城市,四川,自贡,阴,34,0.00,1.0,阴,晴,晴
四线城市,四川,达州,阵雨,34,0.00,1.0,阴,晴,晴
四线城市,安徽,亳州,中雨,31,0.00,1.0,晴,晴,多云
四线城市,安徽,宣城,晴,36,0.00,1.0,小雨,小雨,中雨
四线城市,安徽,淮北,中雨,31,0.00,1.0,小雨,多云,晴
四线城市,安徽,淮南,小雨,34,0.00,1.0,小雨,阴,多云
四线城市,安徽,铜陵,雷阵雨,35,0.00,1.0,雷阵雨,阵雨,雷阵雨
四线城市,安徽,黄山,多云,35,0.00,1.0,小雨,小雨,小雨
四线城市,山东,东营,小雨,29,0.00,1.0,多云,晴,晴
四线城市,山东,日照,大雨,26,0.00,1.0,多云,多云,晴
四线城市,山东,滨州,小雨,28,0.00,1.0,多云,晴,多云
四线城市,山西,临汾,晴,31,0.00,1.0,多云,晴,晴
四线城市,山西,大同,晴,30,0.00,1.0,小雨,小雨,小雨
四线城市,山西,晋中,小雨,29,0.00,1.0,小雨,晴,小雨
四线城市,山西,长治,小雨,22,0.00,1.0,小雨,晴,晴
四线城市,广东,云浮,雷阵雨,31,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
四线城市,广东,梅州,雷阵雨,32,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
四线城市,广东,汕尾,大雨,29,0.00,1.0,中雨,中雨,雷阵雨
四线城市,广东,河源,雷阵雨,31,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
四线城市,广东,茂名,雷阵雨,31,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
四线城市,广东,韶关,雷阵雨,33,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
四线城市,广西,梧州,阵雨,32,0.00,1.0,阵雨,阵雨,阵雨
四线城市,广西,玉林,中雨,32,0.00,1.0,雷阵雨,雷阵雨,小雨
四线城市,广西,百色,中雨,32,0.00,1.0,阵雨,中雨,中雨
四线城市,江西,吉安,晴,36,0.00,1.0,多云,雷阵雨,雷阵雨
四线城市,江西,抚州,晴,35,0.00,1.0,晴,中雨,雷阵雨
四线城市,江西,新余,多云,35,0.00,1.0,阵雨,中雨,小雨
四线城市,江西,景德镇,多云,35,0.00,0.6,小雨,中雨,中雨
四线城市,河北,张家口,多云,31,0.00,1.0,雷阵雨,多云,雷阵雨
四线城市,河北,承德,多云,30,0.00,1.0,阴,多云,暴雨
四线城市,河北,秦皇岛,阴,30,0.50,1.0,多云,多云,雷阵雨
四线城市,河北,衡水,雷阵雨,31,0.00,1.0,阴,多云,雷阵雨
四线城市,河南,平顶山,大雨,30,0.00,1.0,阴,晴,晴
四线城市,河南,濮阳,小雨,29,0.00,1.0,多云,晴,晴
四线城市,河南,焦作,小雨,29,0.00,1.0,多云,晴,晴
四线城市,河南,许昌,大雨,31,0.00,1.0,多云,晴,晴
四线城市,浙江,丽水,多云,38,0.00,1.0,多云,小雨,小雨
四线城市,浙江,舟山,多云,36,0.00,0.8,多云,小雨,中雨
四线城市,浙江,衢州,多云,36,0.00,1.0,小雨,小雨,小雨
四线城市,海南,文昌,雷阵雨,33,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
四线城市,湖北,十堰,小雨,33,0.00,1.0,小雨,晴,晴
四线城市,湖北,咸宁,阴,37,0.00,1.0,小雨,小雨,小雨
四线城市,湖北,孝感,小雨,35,0.00,1.0,小雨,阴,小雨
四线城市,湖北,鄂州,阴,36,0.00,1.0,小雨,多云,小雨
四线城市,湖北,黄冈,阴,36,0.00,1.0,小雨,多云,小雨
四线城市,湖北,黄石,阴,36,0.00,1.0,小雨,多云,小雨
四线城市,湖南,娄底,多云,35,0.30,0.5,小雨,小雨,小雨
四线城市,湖南,常德,小雨,37,0.00,1.0,中雨,小雨,阴
四线城市,湖南,怀化,雷阵雨,36,0.00,1.0,雷阵雨,中雨,小雨
四线城市,湖南,永州,多云,36,0.00,1.0,雷阵雨,雷阵雨,小雨
四线城市,湖南,湘潭,晴,37,0.00,1.0,小雨,中雨,小雨
四线城市,湖南,益阳,阴,35,0.00,1.0,小雨,小雨,小雨
四线城市,湖南,邵阳,雷阵雨,34,0.00,1.0,雷阵雨,雷阵雨,小雨
四线城市,湖南,郴州,小雨,34,0.00,1.0,小雨,小雨,小雨
四线城市,甘肃,武威,小雨,30,0.00,1.0,晴,晴,小雨
四线城市,甘肃,白银,多云,29,0.00,1.0,阵雨,晴,多云
四线城市,福建,三明,小雨,36,0.00,1.0,小雨,小雨,小雨
四线城市,福建,南平,阴,35,0.00,1.0,阴,小雨,小雨
四线城市,福建,龙岩,小雨,33,0.00,1.0,小雨,小雨,小雨
