城市分层,省份,城市,2026-07-22天气,2026-07-22温度,配送费,配送费占比,2026-07-23天气,2026-07-24天气,2026-07-25天气
一线城市,上海,上海,小雨,34,0.00,1.0,阴,多云,多云
一线城市,北京,北京,小雨,27,0.00,1.0,小雨,多云,雷阵雨
一线城市,广东,广州,雷阵雨,33,0.00,0.5682,晴,晴,雷阵雨
一线城市,广东,深圳,雷阵雨,32,0.00,1.0,晴,晴,中雨
新一线城市,广东,东莞,中雨,33,0.00,1.0,晴,晴,雷阵雨
新一线城市,广东,佛山,中雨,32,0.00,1.0,晴,晴,雷阵雨
新一线城市,江苏,南京,大雨,28,0.00,1.0,中雨,中雨,多云
新一线城市,安徽,合肥,中雨,28,0.00,0.9968,大雨,小雨,阴
新一线城市,天津,天津,中雨,30,0.00,1.0,雷阵雨,雷阵雨,多云
新一线城市,浙江,杭州,小雨,35,0.00,1.0,多云,小雨,晴
新一线城市,湖北,武汉,中雨,30,0.00,1.0,小雨,多云,多云
新一线城市,江苏,苏州,小雨,34,0.00,1.0,小雨,多云,多云
新一线城市,陕西,西安,多云,37,0.00,1.0,晴,晴,晴
新一线城市,河南,郑州,晴,34,0.00,1.0,小雨,大雨,小雨
新一线城市,湖南,长沙,雷阵雨,31,0.00,0.4762,雷阵雨,晴,晴
新一线城市,山东,青岛,多云,27,0.00,1.0,阴,多云,多云
二线城市,广东,中山,中雨,32,0.00,1.0,晴,多云,中雨
二线城市,山东,临沂,多云,31,0.00,1.0,阴,阴,小雨
二线城市,海南,五指山,雷阵雨,33,0.00,1.0,多云,雷阵雨,雷阵雨
二线城市,河北,保定,雷阵雨,30,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
二线城市,甘肃,兰州,晴,35,0.00,1.0,晴,晴,多云
二线城市,广西,南宁,阵雨,32,0.00,1.0,阵雨,阵雨,多云
二线城市,江西,南昌,雷阵雨,33,0.00,1.0,雷阵雨,晴,晴
二线城市,江苏,南通,小雨,31,0.00,0.9943,小雨,小雨,多云
二线城市,福建,厦门,晴,32,0.00,1.0,晴,多云,小雨
二线城市,黑龙江,哈尔滨,多云,31,0.00,1.0,雷阵雨,雷阵雨,小雨
二线城市,浙江,嘉兴,小雨,33,1.00,0.8095,多云,多云,晴
二线城市,山西,太原,小雨,28,0.00,1.0,小雨,晴,晴
二线城市,江苏,常州,中雨,33,0.00,1.0,小雨,小雨,多云
二线城市,江苏,徐州,多云,31,0.00,0.9615,小雨,小雨,小雨
二线城市,广东,惠州,晴,32,0.00,1.0,多云,晴,中雨
二线城市,江苏,无锡,小雨,34,0.00,1.0,小雨,小雨,晴
二线城市,云南,昆明,小雨,27,0.00,1.0,小雨,小雨,小雨
二线城市,辽宁,沈阳,多云,31,0.00,0.9923,多云,雷阵雨,雷阵雨
二线城市,福建,泉州,晴,33,0.00,1.0,晴,晴,小雨
二线城市,山东,济南,多云,33,0.00,1.0,小雨,小雨,雷阵雨
二线城市,浙江,温州,晴,36,0.00,1.0,多云,晴,小雨
二线城市,福建,漳州,晴,34,0.00,1.0,晴,多云,小雨
二线城市,山东,烟台,多云,29,0.00,1.0,多云,小雨,小雨
二线城市,广东,珠海,中雨,31,0.00,1.0,晴,晴,中雨
二线城市,河北,石家庄,雷阵雨,32,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
二线城市,福建,福州,晴,36,0.00,1.0,晴,晴,小雨
二线城市,贵州,贵阳,多云,31,0.00,1.0,多云,阵雨,多云
二线城市,浙江,金华,阴,34,0.00,1.0,晴,晴,小雨
二线城市,吉林,长春,多云,30,0.00,1.0,小雨,小雨,小雨
三线城市,海南,三亚,多云,34,0.00,1.0,小雨,多云,多云
三线城市,江西,上饶,阵雨,34,0.00,1.0,多云,晴,晴
三线城市,江西,九江,雷阵雨,32,0.00,1.0,雷阵雨,多云,多云
三线城市,河南,信阳,阴,33,0.00,1.0,多云,小雨,小雨
三线城市,安徽,六安,大雨,28,0.00,1.0,大雨,小雨,多云
三线城市,四川,南充,晴,39,0.00,1.0,晴,晴,多云
三线城市,河南,南阳,晴,35,0.00,1.0,多云,多云,小雨
三线城市,浙江,台州,晴,35,0.00,0.9825,晴,晴,小雨
三线城市,河南,周口,晴,38,0.00,1.0,多云,小雨,小雨
三线城市,陕西,咸阳,多云,35,0.00,1.0,晴,晴,晴
三线城市,河北,唐山,雷阵雨,29,0.00,1.0,雷阵雨,中雨,雷阵雨
三线城市,河南,商丘,晴,33,0.00,1.0,小雨,大雨,小雨
三线城市,山东,威海,晴,28,0.00,1.0,阴,中雨,小雨
三线城市,福建,宁德,晴,36,0.00,1.0,多云,多云,小雨
三线城市,安徽,安庆,小雨,29,0.00,1.0,小雨,晴,晴
三线城市,湖北,宜昌,阴,32,0.00,1.0,阴,阵雨,阵雨
三线城市,江西,宜春,中雨,33,0.00,1.0,雷阵雨,多云,多云
三线城市,安徽,宿州,小雨,28,0.00,1.0,中雨,小雨,阴
三线城市,江苏,宿迁,小雨,28,0.00,1.0,中雨,小雨,小雨
三线城市,湖南,岳阳,中雨,29,0.00,1.0,晴,晴,晴
三线城市,河北,廊坊,大雨,28,0.00,1.0,中雨,雷阵雨,雷阵雨
三线城市,河南,开封,晴,34,0.00,0.9706,小雨,暴雨,小雨
三线城市,山东,德州,雷阵雨,33,0.00,1.0,雷阵雨,雷阵雨,阴
三线城市,江苏,扬州,中雨,30,0.00,1.0,小雨,小雨,小雨
三线城市,广东,揭阳,多云,34,0.00,1.0,晴,晴,中雨
三线城市,河南,新乡,多云,33,0.00,1.0,多云,多云,小雨
三线城市,山东,枣庄,多云,32,0.00,1.0,阴,阴,小雨
三线城市,广西,柳州,阵雨,32,0.00,1.0,阵雨,多云,多云
三线城市,湖南,株洲,中雨,33,0.00,1.0,小雨,多云,晴
三线城市,广西,桂林,阵雨,30,0.00,1.0,阵雨,多云,多云
三线城市,广东,汕头,晴,34,0.00,1.0,晴,晴,中雨
三线城市,广东,江门,多云,32,0.00,1.0,晴,晴,雷阵雨
三线城市,河北,沧州,大雨,30,0.00,1.0,雷阵雨,中雨,雷阵雨
三线城市,山东,泰安,多云,33,0.00,1.0,阴,小雨,小雨
三线城市,河南,洛阳,晴,33,0.00,1.0,多云,多云,小雨
三线城市,山东,济宁,晴,33,0.00,1.0,多云,阴,小雨
三线城市,海南,海口,小雨,35,0.00,1.0,小雨,小雨,多云
三线城市,山东,淄博,多云,34,0.00,1.0,小雨,小雨,小雨
三线城市,江苏,淮安,中雨,28,0.00,1.0,中雨,中雨,多云
三线城市,广东,清远,雷阵雨,31,0.00,1.0,晴,晴,多云
三线城市,陕西,渭南,多云,35,0.00,1.0,晴,晴,晴
三线城市,浙江,湖州,中雨,33,0.00,1.0,小雨,小雨,晴
三线城市,广东,湛江,中雨,33,0.00,1.0,雷阵雨,雷阵雨,多云
三线城市,安徽,滁州,中雨,28,0.00,1.0,中雨,小雨,阴
三线城市,广东,潮州,晴,33,0.00,1.0,晴,晴,中雨
三线城市,海南,琼海,多云,35,0.00,1.0,多云,多云,多云
三线城市,江苏,盐城,大雨,30,0.00,1.0,小雨,小雨,小雨
三线城市,四川,绵阳,晴,37,0.00,1.0,晴,多云,多云
三线城市,山东,聊城,小雨,33,0.00,1.0,小雨,多云,小雨
三线城市,广东,肇庆,中雨,30,0.00,1.0,雷阵雨,多云,多云
三线城市,安徽,芜湖,小雨,31,0.00,1.0,小雨,小雨,多云
三线城市,湖北,荆州,阴,32,0.00,0.7778,阴,多云,多云
三线城市,福建,莆田,晴,34,0.00,1.0,晴,晴,多云
三线城市,山东,菏泽,晴,34,0.00,1.0,小雨,小雨,小雨
三线城市,安徽,蚌埠,中雨,27,0.00,1.0,中雨,小雨,阴
三线城市,湖南,衡阳,中雨,33,0.00,1.0,小雨,小雨,晴
三线城市,江西,赣州,多云,35,0.00,1.0,多云,多云,多云
三线城市,山西,运城,小雨,34,0.00,1.0,小雨,晴,晴
三线城市,江苏,连云港,阴,28,0.00,1.0,小雨,小雨,小雨
三线城市,贵州,遵义,多云,33,0.00,1.0,多云,多云,多云
三线城市,河北,邢台,雷阵雨,29,0.00,1.0,雷阵雨,雷阵雨,雷阵雨
三线城市,河北,邯郸,中雨,33,0.00,1.0,雷阵雨,多云,雷阵雨
三线城市,宁夏,银川,晴,35,0.00,1.0,晴,晴,晴
三线城市,江苏,镇江,中雨,31,0.00,1.0,小雨,小雨,多云
三线城市,安徽,阜阳,小雨,30,0.00,1.0,小雨,中雨,阴
三线城市,安徽,马鞍山,小雨,29,0.00,1.0,中雨,小雨,多云
三线城市,河南,驻马店,多云,36,0.00,1.0,多云,多云,小雨
四线城市,福建,三明,多云,36,0.00,1.0,晴,晴,小雨
四线城市,山东,东营,晴,34,0.00,1.0,多云,小雨,多云
四线城市,山西,临汾,小雨,33,0.00,1.0,小雨,晴,小雨
四线城市,辽宁,丹东,多云,30,0.00,1.0,多云,中雨,阵雨
四线城市,浙江,丽水,多云,35,0.00,1.0,小雨,晴,小雨
四线城市,四川,乐山,晴,40,0.00,1.0,多云,雷阵雨,多云
四线城市,广东,云浮,中雨,30,0.00,1.0,中雨,多云,多云
四线城市,安徽,亳州,晴,32,0.00,1.0,小雨,小雨,阴
四线城市,贵州,六盘水,多云,29,0.00,1.0,多云,阵雨,中雨
四线城市,四川,内江,晴,40,0.00,0.9,多云,雷阵雨,多云
四线城市,湖北,十堰,晴,38,0.00,1.0,小雨,阵雨,阵雨
四线城市,福建,南平,多云,34,0.00,1.0,晴,晴,阴
四线城市,江西,吉安,多云,34,0.00,1.0,多云,晴,晴
四线城市,吉林,吉林,阴,31,0.00,1.0,小雨,小雨,小雨
四线城市,湖北,咸宁,中雨,29,0.00,1.0,小雨,阴,晴
四线城市,山西,大同,小雨,28,0.00,1.0,小雨,晴,多云
四线城市,黑龙江,大庆,小雨,32,0.00,1.0,小雨,小雨,小雨-中雨
四线城市,云南,大理白族自治州,小雨,26,0.00,1.0,小雨,小雨,小雨
四线城市,湖南,娄底,中雨,30,1.00,0.5,雷阵雨,小雨,晴
四线城市,湖北,孝感,中雨,30,0.00,1.0,小雨,多云,多云
四线城市,四川,宜宾,晴,41,0.00,1.0,多云,雷阵雨,多云
四线城市,陕西,宝鸡,小雨,38,0.00,1.0,多云,小雨,小雨
四线城市,安徽,宣城,小雨,33,0.00,1.0,晴,晴,多云
四线城市,湖南,常德,小雨,30,0.00,1.0,小雨,小雨,晴
四线城市,河南,平顶山,晴,34,0.00,1.0,多云,小雨,小雨
四线城市,河北,张家口,雷阵雨,28,0.00,1.0,中雨,雷阵雨,多云
四线城市,四川,德阳,晴,38,0.00,1.0,多云,雷阵雨,多云
四线城市,湖南,怀化,雷阵雨,33,0.00,1.0,多云,多云,晴
四线城市,河北,承德,雷阵雨,28,0.00,1.0,雷阵雨,阴,阴
四线城市,江西,抚州,多云,35,0.00,1.0,晴,晴,晴
四线城市,海南,文昌,多云,33,0.00,1.0,多云,雷阵雨,多云
四线城市,江西,新余,阵雨,33,0.00,1.0,阵雨,多云,多云
四线城市,山东,日照,多云,28,0.00,1.0,阴,小雨,小雨
四线城市,云南,昭通,多云,31,0.00,1.0,阵雨,多云,多云
四线城市,山西,晋中,小雨,27,0.00,1.0,小雨,晴,晴
四线城市,江西,景德镇,多云,35,0.00,1.0,多云,多云,多云
四线城市,云南,曲靖,多云,30,0.00,1.0,小雨,小雨,小雨
四线城市,广东,梅州,多云,35,0.00,1.0,晴,晴,雷阵雨
四线城市,广西,梧州,中雨,31,0.00,1.0,阵雨,多云,多云
四线城市,陕西,榆林,小雨,30,0.00,0.75,多云,多云,晴
四线城市,甘肃,武威,晴,36,0.00,1.0,晴,多云,晴
四线城市,贵州,毕节,多云,30,0.00,0.6667,多云,多云,阵雨
四线城市,湖南,永州,小雨,31,0.00,1.0,小雨,多云,晴
四线城市,陕西,汉中,晴,38,0.00,1.0,多云,晴,小雨
四线城市,广东,汕尾,晴,31,0.00,1.0,晴,晴,中雨
四线城市,广东,河源,雷阵雨,35,0.00,1.0,晴,晴,雷阵雨
四线城市,四川,泸州,晴,40,0.00,1.0,晴,雷阵雨,多云
四线城市,安徽,淮北,小雨,29,0.00,1.0,小雨,小雨,阴
四线城市,安徽,淮南,中雨,27,0.00,1.0,中雨,小雨,阴
四线城市,湖南,湘潭,小雨,32,0.00,1.0,小雨,晴,晴
四线城市,山东,滨州,小雨,35,0.00,1.0,小雨,小雨,雷阵雨
四线城市,河南,濮阳,多云,33,0.00,1.0,中雨,中雨,小雨
四线城市,河南,焦作,小雨,33,0.00,1.0,小雨,小雨,小雨
四线城市,广西,玉林,阵雨,30,0.00,1.0,雷阵雨,雷阵雨,多云
四线城市,甘肃,白银,晴,33,0.00,1.0,晴,晴,晴
四线城市,广西,百色,阵雨,34,0.00,1.0,阵雨,阵雨,多云
四线城市,湖南,益阳,小雨,33,0.80,1.0,中雨,小雨,小雨
四线城市,辽宁,盘锦,多云,29,0.00,1.0,多云,小雨,小雨
四线城市,四川,眉山,晴,39,0.00,0.875,多云,雷阵雨,多云
