城市分层,省份,城市,2026-07-23天气,2026-07-23温度,众数配送费,众数占比,最高配送费,最高占比,最低配送费,最低占比,2026-07-24天气,2026-07-25天气,2026-07-26天气,实时天气
一线,广东,广州,晴,35,0.80,0.3622,,,,,晴,雷阵雨,中雨,
新一线,天津,天津,雷阵雨,30,0.00,1.0,,,,,阴,阴,晴,
新一线,浙江,杭州,小雨,37,0.00,1.0,,,,,多云,晴,小雨,
三线,浙江,台州,晴,36,0.00,1.0,,,,,晴,小雨,小雨,
新一线,四川,成都,雷阵雨,38,0.00,0.993,,,,,雷阵雨,雷阵雨,多云,
二线,浙江,绍兴,多云,38,0.80,0.9143,,,,,多云,晴,小雨,
一线,广东,深圳,晴,33,0.00,1.0,,,,,晴,中雨,大雨,
二线,浙江,温州,晴,36,0.00,1.0,,,,,晴,小雨,小雨,
三线,浙江,湖州,小雨,36,0.00,1.0,,,,,多云,晴,多云,
一线,上海,上海,阴,36,0.00,1.0,,,,,阴,多云,阴,
新一线,湖南,长沙,雷阵雨,35,0.00,0.4874,,,,,晴,晴,小雨,
三线,江苏,扬州,小雨,34,0.50,0.8938,,,,,小雨,小雨,阴,
新一线,湖北,武汉,晴,34,0.00,1.0,,,,,多云,多云,阴,
三线,江苏,泰州,小雨,32,0.00,1.0,,,,,中雨,小雨,阴,
三线,江西,赣州,多云,35,0.00,1.0,,,,,多云,多云,雷阵雨,
三线,江苏,镇江,小雨,32,0.00,1.0,,,,,小雨,多云,阴,
三线,海南,海口,小雨,35,0.00,0.9891,,,,,小雨,小雨,多云,
新一线,江苏,南京,中雨,32,0.00,1.0,,,,,小雨,晴,阴,
三线,新疆,乌鲁木齐,多云,29,0.00,1.0,,,,,多云,小雨,多云,
二线,福建,厦门,晴,32,0.00,1.0,,,,,晴,中雨,大雨,
三线,广东,汕头,晴,33,0.00,1.0,,,,,晴,大雨,雷阵雨,
三线,河北,邯郸,阴,31,0.00,1.0,,,,,多云,中雨,雷阵雨,
三线,江苏,盐城,中雨,29,0.00,1.0,,,,,中雨,中雨,多云,
三线,河北,廊坊,大雨,30,0.00,1.0,,,,,雷阵雨,雷阵雨,阴,
三线,广东,江门,晴,35,0.00,1.0,,,,,晴,多云,中雨,
三线,江西,上饶,晴,35,0.00,1.0,,,,,晴,晴,阵雨,
二线,河北,石家庄,雷阵雨,31,0.00,1.0,,,,,雷阵雨,中雨,雷阵雨,
三线,河北,唐山,中雨,28,0.00,1.0,,,,,雷阵雨,多云,雷阵雨,
新一线,浙江,宁波,小雨,36,0.00,1.0,,,,,晴,晴,小雨,
三线,广东,湛江,多云,32,0.00,1.0,,,,,晴,多云,多云,
三线,河南,洛阳,小雨,30,0.00,1.0,,,,,小雨,小雨,小雨,
三线,广东,揭阳,晴,34,0.00,0.9412,,,,,晴,大雨,大雨,
二线,福建,泉州,晴,34,0.00,1.0,,,,,晴,小雨,中雨,
三线,安徽,芜湖,小雨,34,0.00,1.0,,,,,小雨,晴,小雨,
二线,河北,保定,雷阵雨,30,0.00,1.0,,,,,雷阵雨,雷阵雨,晴,
三线,河南,南阳,小雨,35,0.00,0.9851,,,,,小雨,小雨,中雨,
三线,陕西,咸阳,多云,36,0.00,0.9701,,,,,晴,晴,多云,
四线,浙江,丽水,小雨,38,0.00,1.0,,,,,晴,小雨,小雨,
三线,广西,柳州,阵雨,34,0.00,1.0,,,,,多云,多云,多云,
三线,四川,绵阳,雷阵雨,38,0.00,1.0,,,,,雷阵雨,多云,多云,
三线,福建,漳州,晴,36,0.00,0.9844,,,,,晴,中雨,暴雨,
三线,广东,肇庆,多云,35,0.00,1.0,,,,,晴,多云,中雨,
一线,北京,北京,小雨,29,0.00,1.0,,,,,小雨,小雨,雷阵雨,
四线,四川,德阳,晴,38,0.00,1.0,,,,,雷阵雨,阵雨,多云,
三线,内蒙古,呼和浩特,小雨,28,0.00,1.0,,,,,晴,多云,多云,
四线,广东,茂名,晴,33,0.00,0.9833,,,,,晴,多云,雷阵雨,
三线,广西,桂林,阵雨,32,0.00,0.9833,,,,,阵雨,多云,小雨,
二线,山东,济南,小雨,31,0.00,0.9661,,,,,中雨,小雨,雷阵雨,
三线,江苏,淮安,中雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
三线,江苏,宿迁,中雨,30,0.00,1.0,,,,,中雨,小雨,小雨,
四线,四川,宜宾,晴,40,0.00,0.9825,,,,,雷阵雨,晴,多云,
新一线,安徽,合肥,中雨,30,0.00,0.9825,,,,,小雨,晴,小雨,
三线,江西,九江,雷阵雨,32,0.00,1.0,,,,,多云,晴,雷阵雨,
二线,广西,南宁,阵雨,32,0.00,1.0,,,,,阵雨,多云,多云,
三线,安徽,阜阳,小雨,30,0.00,1.0,,,,,小雨,小雨,小雨,
二线,广东,惠州,晴,35,0.00,0.9636,,,,,晴,多云,大暴雨,
三线,山东,济宁,小雨,32,0.00,1.0,,,,,中雨,小雨,小雨,
三线,湖南,株洲,小雨,34,0.00,0.7273,,,,,晴,晴,小雨,
三线,湖南,衡阳,小雨,34,0.00,1.0,,,,,晴,多云,小雨,
新一线,江苏,苏州,多云,36,0.00,1.0,,,,,多云,晴,多云,
三线,湖南,岳阳,小雨,32,0.00,1.0,,,,,小雨,晴,小雨,
三线,广东,清远,多云,35,0.00,1.0,,,,,晴,多云,雷阵雨,
三线,山东,淄博,小雨,34,0.00,1.0,,,,,小雨,小雨,雷阵雨,
四线,浙江,衢州,多云,37,0.00,1.0,,,,,晴,多云,中雨,
四线,广西,玉林,雷阵雨,32,0.00,1.0,,,,,雷阵雨,雷阵雨,雷阵雨,
三线,河北,邢台,多云,29,0.00,0.963,,,,,雷阵雨,中雨,雷阵雨,
四线,四川,南充,晴,40,0.00,1.0,,,,,多云,晴,多云,
四线,湖南,常德,晴,34,0.00,1.0,,,,,多云,晴,多云,
四线,湖南,郴州,多云,35,0.00,1.0,,,,,晴,晴,小雨,
二线,山东,潍坊,多云,34,0.00,0.8846,,,,,中雨,阴,小雨,
四线,辽宁,鞍山,多云,31,0.00,1.0,,,,,小雨,小雨,多云,
四线,山东,枣庄,小雨,31,0.00,1.0,,,,,小雨,小雨,小雨,
四线,陕西,宝鸡,多云,37,0.00,1.0,,,,,多云,多云,小雨,
三线,湖北,襄阳,多云,34,0.00,1.0,,,,,多云,小雨,小雨,
三线,山东,菏泽,小雨,32,0.00,1.0,,,,,小雨,小雨,小雨,
四线,广东,汕尾,晴,32,0.00,1.0,,,,,晴,大雨,大暴雨,
三线,河北,沧州,雷阵雨,27,0.00,1.0,,,,,雷阵雨,雷阵雨,多云,
三线,山东,泰安,雷阵雨,33,0.00,1.0,,,,,中雨,多云,雷阵雨,
新一线,陕西,西安,多云,37,0.00,1.0,,,,,多云,晴,多云,
四线,湖北,孝感,多云,34,0.00,1.0,,,,,多云,多云,阴,
三线,山东,聊城,小雨,31,0.00,1.0,,,,,小雨,多云,小雨,
四线,广东,阳江,晴,32,0.00,1.0,,,,,晴,多云,雷阵雨,
三线,福建,莆田,晴,35,0.00,1.0,,,,,晴,小雨,中雨,
三线,河南,新乡,小雨,32,0.00,1.0,,,,,小雨,小雨,小雨,
四线,湖南,怀化,多云,34,0.00,1.0,,,,,多云,多云,多云,
二线,江苏,徐州,小雨,31,0.00,0.9149,,,,,中雨,小雨,小雨,
三线,湖北,荆州,晴,34,0.00,0.913,,,,,多云,晴,阴,
四线,湖北,黄冈,中雨,32,0.00,1.0,,,,,小雨,晴,阴,
四线,浙江,舟山,晴,34,0.00,1.0,,,,,晴,小雨,小雨,
四线,广西,贵港,阵雨,32,0.00,1.0,,,,,多云,多云,小雨,
四线,广东,河源,晴,35,0.00,1.0,,,,,晴,雷阵雨,暴雨,
四线,黑龙江,齐齐哈尔,小雨,28,0.00,0.9773,,,,,小雨,小雨,大雨,
四线,四川,乐山,多云,38,0.00,0.9318,,,,,雷阵雨,晴,多云,
四线,湖南,邵阳,小雨,31,0.00,0.9545,,,,,多云,多云,多云,
三线,安徽,蚌埠,大雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
二线,山东,临沂,小雨,32,0.00,0.9773,,,,,小雨,小雨,小雨,
三线,湖北,宜昌,小雨,34,0.00,1.0,,,,,多云,多云,小雨,
三线,江西,宜春,雷阵雨,35,0.00,1.0,,,,,多云,多云,雷阵雨,
三线,河南,信阳,小雨,33,0.00,1.0,,,,,小雨,小雨,小雨,
四线,内蒙古,包头,晴,31,0.00,1.0,,,,,晴,多云,晴,
四线,青海,西宁,晴,31,0.00,0.9767,,,,,多云,小雨,小雨,
二线,江苏,南通,多云,33,0.50,0.881,,,,,多云,晴,多云,
三线,福建,宁德,多云,36,0.00,1.0,,,,,多云,小雨,小雨,
二线,江苏,无锡,多云,34,0.50,0.9024,,,,,多云,多云,多云,
四线,福建,龙岩,晴,35,0.00,1.0,,,,,晴,小雨,暴雨,
四线,云南,曲靖,小雨,28,0.00,1.0,,,,,小雨,小雨,小雨,
二线,浙江,金华,小雨,36,0.00,1.0,,,,,小雨,小雨,小雨,
四线,江西,吉安,多云,35,0.00,0.9756,,,,,多云,晴,多云,
四线,安徽,马鞍山,小雨,33,0.00,1.0,,,,,小雨,晴,小雨,
四线,广东,韶关,晴,35,0.00,1.0,,,,,晴,多云,中雨,
四线,云南,大理白族自治州,小雨,26,0.00,0.975,,,,,小雨,小雨,小雨,
四线,安徽,淮南,大雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
四线,福建,南平,晴,35,0.00,1.0,,,,,晴,多云,小雨,
二线,辽宁,大连,多云,29,0.00,0.95,,,,,阴,雷阵雨,雷阵雨,
四线,湖南,娄底,多云,31,1.10,0.525,,,,,晴,晴,小雨,
四线,江西,抚州,晴,35,0.00,1.0,,,,,晴,晴,雷阵雨,
四线,安徽,亳州,小雨,31,0.00,1.0,,,,,小雨,小雨,小雨,
三线,山东,德州,中雨,31,0.00,0.9487,,,,,雷阵雨,雷阵雨,多云,
三线,河南,驻马店,小雨,35,0.00,1.0,,,,,小雨,小雨,中雨,
三线,贵州,遵义,多云,33,0.00,1.0,,,,,多云,多云,多云,
三线,河南,安阳,暴雨,31,0.00,0.9737,,,,,小雨,中雨,小雨,
二线,浙江,嘉兴,小雨,36,1.00,0.5263,,,,,多云,晴,小雨,
三线,山东,威海,小雨,28,0.00,1.0,,,,,中雨,小雨,小雨,
四线,安徽,宣城,小雨,35,0.00,1.0,,,,,小雨,晴,小雨,
四线,广东,梅州,多云,36,0.00,0.9189,,,,,多云,中雨,中雨,
三线,安徽,宿州,大雨,28,0.00,1.0,,,,,中雨,小雨,小雨,
三线,海南,三亚,小雨,33,0.00,1.0,,,,,小雨,小雨,多云,
三线,河南,周口,小雨,36,0.00,0.973,,,,,小雨,小雨,中雨,
四线,湖南,湘潭,多云,34,0.00,1.0,,,,,晴,晴,晴,
四线,广西,北海,雷阵雨,32,0.00,1.0,,,,,多云,多云,多云,
四线,湖北,恩施土家族苗族自治州,晴,38,0.00,1.0,,,,,多云,小雨,多云,
四线,湖南,益阳,小雨,33,0.80,0.9722,,,,,小雨,晴,小雨,
四线,西藏,拉萨,小雨,23,0.00,0.9722,,,,,小雨,小雨,多云,
四线,辽宁,营口,多云,30,0.00,1.0,,,,,阵雨,阵雨,阵雨,
四线,内蒙古,赤峰,小雨,29,0.00,0.9444,,,,,多云,小雨,多云,
三线,河南,商丘,小雨,33,0.00,0.8611,,,,,大雨,小雨,小雨,
二线,福建,福州,晴,36,0.00,1.0,,,,,晴,多云,小雨,
四线,内蒙古,鄂尔多斯,小雨,28,0.00,1.0,,,,,小雨,多云,小雨,
四线,山西,大同,小雨,27,0.00,0.9714,,,,,晴,晴,多云,
四线,辽宁,锦州,阵雨,28,0.00,1.0,,,,,阵雨,阵雨,多云,
四线,河北,秦皇岛,雷阵雨,28,0.50,0.6176,,,,,雷阵雨,多云,阴,
四线,江西,景德镇,多云,35,0.00,1.0,,,,,多云,多云,阴,
四线,山西,临汾,小雨,34,0.00,0.8824,,,,,晴,晴,小雨,
三线,陕西,渭南,多云,36,0.00,1.0,,,,,晴,晴,小雨,
